test,mean_difference,std_difference,err_of_mean,n,rms
paired: edenhofer23/fitz19 - edenhofer23/wangchen19,0.00014350544193249582,0.026193845072508957,0.00011964901617498711,47927,0.026193964908111836
paired: edenhofer23/fitz19 - GSP-Phot per-star A_G,0.0067269767809304895,0.10156333104125095,0.0004639239716391985,47927,0.10178480831319793
