k,threshold_mag,f_detectable,n_pos,n_neg,asymmetry,asym_err,excess_UL_95,p_UL,mean_f_UL
3,0.32728298716487547,0.26024688066943535,143,174,-31,17.804493814764857,32.284124598842176,0.0025100392317557283,0.0006532298804223342
4,0.43637731621983394,0.330964637361461,55,50,5,10.246950765959598,27.369268918745075,0.002127917036133189,0.0007042652901990957
5,0.5454716452747924,0.39492202903322393,8,12,-4,4.47213595499958,10.352395919528298,0.0008048822826565307,0.00031786574419960994
6,0.6545659743297509,0.45276532244069934,1,3,-2,2.0,6.28573227355399,0.0004887056658026737,0.0002212689783557442
