source_id,ra,dec,l,b,dist_pc,phot_g_mean_mag,M_G,M_Ks,bp_rp0,A_0,residual,residual_sigma,implied_f,ruwe,cstar_nsigma,side,wise_w1mpro,wise_w2mpro,wise_w3mpro,wise_w4mpro,allwise_designation,tmass_designation
3457050443915251712,90.11747213987601,38.178573114669035,173.55982680617512,7.327659411633561,496.93377504629865,16.834265,8.050102404638777,4.997292929739153,1.8564285527408242,0.4092651129743812,2.978727757258864,30.60480984650253,0.9337729213300973,0.9940484,2.425643409145984,positive (deficit-like),,,,,,06002819+3810431
394095173904252288,5.914743156899304,48.7703263706809,118.22402064164086,-13.847328261235957,495.8956986004837,14.065238,5.428554515323384,3.7265370260773474,0.9659010439605527,0.18818783634744943,2.3671046244319562,24.25394474750731,0.8836718419427847,0.94392145,1.1370952826901102,positive (deficit-like),,,,,,00233952+4846133
3455144440509162240,88.31716524687252,35.51816542221874,175.17204933042999,4.76208117544056,372.51385216043826,13.50203,5.364761897415746,3.7704607685764087,0.8835689935162246,0.32898291909768906,2.1931455456211877,22.44761895147937,0.8634573010411211,0.99132985,0.17153131398940277,positive (deficit-like),,,,,,05531614+3531056
378737882679147008,5.72223780640409,37.48702480055363,116.68495667980031,-25.03818881726047,449.825629943927,16.427523,8.02127738859968,4.950923653901649,1.8878622185126932,0.19044855574709119,2.1619382239849156,22.12357383419142,0.8594757061161903,0.9796076,1.4870097776582207,positive (deficit-like),,,,,,00225332+3729134
364419625650651264,15.227044824120165,37.23110154758736,125.0220812827157,-25.602211534652845,242.34022385424157,15.177585,8.200124430155299,5.018260408930229,1.990159188038261,0.07555916263469196,2.152283187997058,22.023319563556793,0.8582205046820369,1.058532,1.0063994527302473,positive (deficit-like),,,,,,01005451+3713522
3458416861990219776,90.3994118787198,40.07898694352655,171.9836828242588,8.433075307182623,445.52790116672924,15.1988945,6.607472576561136,4.323263428272633,1.3233106919541358,0.4349909521007786,1.9322960683237393,19.73905586328705,0.8263765930547662,0.9427013,0.9055888643272606,positive (deficit-like),,,,,,06013586+4004444
3436238475506285184,98.5005299244025,32.533405063745874,181.7949471931832,10.847496948682624,203.76715761215146,18.283566,11.664801246867116,7.517656086370574,3.185797797394139,0.11430874080072924,1.8609106455441056,18.99781642060479,0.8145774953794296,0.9758641,0.9979414447896963,positive (deficit-like),14.002,13.768,12.369,8.95,J063400.13+323200.4,06340017+3232009
3455129086001699200,87.62884432347884,35.35204353373311,175.0313720182739,4.1942342169766835,168.92808446400988,17.43163,11.26012590807335,7.456992254738365,2.7876617661967726,0.0496287083503065,1.7920165163147794,18.282445635288173,0.8024304117416242,0.99827164,1.246177719944138,positive (deficit-like),,,,,,05503084+3521084
3425095616651404544,92.85786866503798,22.790542670127238,188.22335539201467,1.9558653442293352,423.49372122432516,16.721792,8.532049145587054,5.3260391534795986,2.0262729129910984,0.07617192475774287,1.7157494855169515,17.490517406773975,0.7880531789344702,1.0527803,1.417480592072583,positive (deficit-like),,,,,,06112589+2247262
3439508320007889024,96.90353331346004,33.22368980938296,180.57142046630455,9.938130352239616,219.66869315889065,17.822992,11.011413676575453,7.115654721537495,2.7368803244495647,0.15401977875891978,1.6370747277161806,16.673588244563522,0.7721249325538145,1.0169809,0.8891728955824008,positive (deficit-like),,,,,,06273685+3313258
3437802908755381376,91.41955897400118,30.27778670959628,181.03339264027798,4.442709221035068,407.793227553061,17.403423,9.148316578252409,5.552121906539678,2.4233519617862527,0.294408799615967,1.5076734070668063,15.329933488933838,0.7432813983622384,1.0707498,2.2303411750883027,positive (deficit-like),,,,,,06054067+3016403
3447084990213028480,82.27896333011832,30.808516470970847,176.5003380346661,-2.0150313960371817,410.7553422871937,16.47177,7.905399335294442,5.16898942311843,1.6153096297623892,0.655883420154786,1.5036100409006774,15.287741019447553,0.7423188292860554,1.0331081,0.6182673174198703,positive (deficit-like),,,,,,05290694+3048306
390455240660917120,10.973618627930291,48.17307865962521,121.63195741502139,-14.679630196003838,496.2150715435957,16.442043,7.777685979827793,4.828398593192228,1.8204096959535023,0.24923392890224808,1.4246937959646233,14.468304345442643,0.7228919240511957,0.97291386,0.3935448118649753,positive (deficit-like),,,,,,00435368+4810233
386584444332098432,0.5483678268101971,45.3556271905625,113.93445816409964,-16.654072335158837,410.52937622422485,17.260887,8.925154770128197,4.88557658206716,3.0869559968052447,0.4192826688938942,1.2438353488768097,12.590338098221693,0.6726649115108378,1.0393424,0.4099233787835482,positive (deficit-like),12.83,12.606,12.51,9.05,J000211.60+452120.2,00021160+4521202
367755926181218304,13.52597270692945,38.131232933414815,123.5091490847514,-24.737529084830523,347.97816533483325,13.3638935,5.574831314432208,3.739354384713532,1.0886299261425996,0.09734386086131587,1.1697063224024544,11.820610104313868,0.6495353875998997,0.99493057,0.325273471356509,positive (deficit-like),,,,,,00540624+3807524
3425886062430684416,93.66225132245276,24.54973253002245,187.02842857784975,3.4434211751730626,247.0818997839742,17.470812,10.447739617744961,6.700206911038075,2.550880603085892,0.08632050404429506,1.1341789439684236,11.45170713834424,0.637877822071498,0.9285863,2.3266702092333458,positive (deficit-like),,,,,,06143891+2432594
3424609078464024576,91.02168042125291,23.271406285386494,186.98184675543533,0.7123817426958796,360.83056203609436,15.33181,7.4492899357238125,4.86845216699023,1.5866485484807025,0.12399168194631963,1.1186558771102122,11.290521437137148,0.6326632743769405,0.9696938,2.909945891482865,positive (deficit-like),,,,,,06040520+2316173
392487035068504832,5.283939265262576,47.56835670212725,117.64842856026762,-14.992291967787468,275.3704506685734,15.653464,8.35325776361334,5.4263713660241,1.8258365746593117,0.13451976698136636,1.0793224016211587,10.882097387590433,0.6191116050262238,0.93014973,0.7840685155200385,positive (deficit-like),,,,,,00210808+4734058
391141056741548288,7.500431503331762,48.7380359731417,119.29255838127547,-13.982179116665044,171.80934732402977,17.741365,11.528725370241506,7.640928155766773,2.8632455010373663,0.056714817171693736,1.0556417307148676,10.636206187098319,0.6107129031544081,0.99069446,0.23340574487975374,positive (deficit-like),,,,,,00300008+4844170
3440828764754355840,84.03399595665546,25.217100722557177,182.04132727075242,-3.7582481096198075,293.8202922517263,17.509218,9.701331846423669,5.483076786446471,3.1240293381101907,0.7346747023171775,0.9757339355255891,9.806473627344294,0.5809815682663364,0.9586572,0.14001168667682293,positive (deficit-like),12.759,12.519,12.341,8.459,J053608.15+251301.6,05360816+2513017
3450824665483307392,91.33594830239029,33.49243723438971,178.17196146165566,5.932220266490507,308.97825605506154,17.069294,9.4654116041654,5.895523359491386,2.3841803513181197,0.22239357367883447,0.9216800178777401,9.245198030283387,0.5595925122901418,1.0032966,1.1341869704942096,positive (deficit-like),,,,,,06052062+3329330
3429150649893321600,87.78130716068118,25.907328415612543,183.2246962639953,-0.5170663018201576,324.417654796854,15.967292,8.199089341963631,4.778199430672222,1.8280137237170688,0.2855444395396005,0.8888052044346774,8.903838303801928,0.5460535548232319,1.0532619,1.824856821016689,positive (deficit-like),,,,,,05510745+2554271
369589602338663808,16.42933845931294,36.84747258030642,126.10816596695744,-25.936197419563737,378.272489068706,17.254213,9.304370874697717,5.86621241850147,2.3433741303974474,0.08698782564396342,0.8847620112904085,8.861855303404688,0.5443599437782671,0.98421514,0.3759287966268071,positive (deficit-like),,,,,,01054306+3650509
394226977860883840,6.007739783261326,49.32791305904832,118.34942036846256,-13.299825748245729,282.1385846353104,16.783943,9.440507972556732,6.146716306415689,2.2834158334933297,0.12948288879922748,0.8743908394318801,8.754164946619818,0.5399867241042009,0.9934219,0.16557577384684022,positive (deficit-like),13.263,13.139,12.698,9.475,J002401.85+491940.4,00240184+4919403
393820463498871680,1.5411640960106898,49.4404714653549,115.41311504673745,-12.769200447573931,442.00990848552243,17.845453,9.508962064191268,5.477873777524906,2.955311423800952,0.1676262229621553,0.8699568470028091,8.70812403309707,0.538104253977325,0.97376716,1.113699129959558,positive (deficit-like),,,,,,00060987+4926257
362580937265784320,14.26957179047973,33.352412007115376,124.28527424677561,-29.504516096604107,351.89632186504736,17.342512,9.462906975350743,6.044382006182113,2.292296003214859,0.210261085172064,0.8699035924327699,8.707571057625621,0.5380815977717772,1.0227436,0.532242086527999,positive (deficit-like),13.692,13.568,12.391,9.171,J005704.70+332108.5,00570469+3321086
3428538526856658304,86.42532408496618,24.48853077139784,183.80792973568572,-2.2998524758279753,453.15931072493146,16.734884,8.267456468333794,4.582849657160626,2.594820670913162,0.27545261646340524,0.8475708437239483,8.475676175422686,0.5284819051044181,1.0023408,1.108327473377635,positive (deficit-like),12.751,12.602,12.44,9.061,J054542.08+242918.7,05454207+2429189
392128319399307776,4.058651244721846,46.458132414203256,116.63749569688015,-15.982928202650202,430.8415792333844,17.458,9.171724109238136,5.366884306459341,2.5989831745036938,0.1693961686890527,0.845459238045121,8.453750054436187,0.5275639757577224,1.0336677,1.7051140577258521,positive (deficit-like),,,,,,00161409+4627294
3437717662244143360,91.15023059322789,30.098510121912035,181.07728780738734,4.152156861557678,353.90155038006156,17.128874,9.200559202088241,5.365534785536082,2.7614402628985135,0.27708039901453707,0.8425465109805416,8.423505389601754,0.5262948602440299,1.0279753,0.3010957233884408,positive (deficit-like),13.017,12.876,11.699,8.792,J060436.05+300554.6,06043604+3005548
391012693055612800,7.635845357290761,48.12982010678012,119.33178131403778,-14.595818718337194,398.95079779667003,16.342566,8.142283368312974,4.456171045164385,2.525275029272532,0.28730988964217846,0.8244740091689936,8.235847312517592,0.5183438636401015,0.98109806,0.6799352518949634,positive (deficit-like),12.4,12.252,11.876,9.019,J003032.60+480747.3,00303261+4807475
368091483386146176,12.946557707305676,39.531382430438654,123.00506669847282,-23.3403181005391,392.2012019211906,15.3578415,7.309349654621718,4.662224498801243,1.579445585321551,0.1043787890240866,0.803678247659002,8.019911928631107,0.5090294955479575,0.9804133,-0.04153971428794005,positive (deficit-like),12.604,12.668,12.331,9.307,J005147.17+393152.9,00514716+3931528
362034376907619072,11.30928339922354,33.47652237979436,121.44808616268791,-29.377361934532363,341.06491737654983,15.616611,7.778373114480156,4.818705655411829,1.8167840957066315,0.23299789244756136,0.7910229246597403,7.888503803531187,0.5032732695134347,1.0309271,0.47965177327240976,positive (deficit-like),,,,,,00451421+3328356
396175102007319424,0.0894572157132008,53.48420513920231,115.28702913216226,-8.627641983280146,402.1420418917596,17.681828,9.532448361089767,5.577715876306377,2.990411647713702,0.19620818811757362,0.7806703616301821,7.78100667384336,0.49851429638494293,1.0300757,-0.18631503215195838,positive (deficit-like),13.516,13.259,13.096,9.34,J000021.47+532903.1,00002145+5329032
396279967929278208,0.23122979896828005,53.83493953039218,115.44042800944203,-8.300455339426543,381.8221524067297,17.597742,9.555855478968846,5.458625294446747,3.0584706684369993,0.205372579324077,0.7757342605091676,7.729752052080331,0.4962291928666247,1.0078522,0.7622458835128111,positive (deficit-like),13.319,13.059,12.734,9.033,J000055.48+535005.8,00005547+5350058
3428892157286122368,85.35837120633254,25.52229432454252,182.41968732327305,-2.5824947484364977,309.34942084429815,17.019138,9.37333035606471,5.527856340497407,2.7702149279000583,0.2919853236323701,0.7740638625642312,7.712407266638849,0.49545354831439703,1.0166464,1.656455480048493,positive (deficit-like),12.839,12.687,12.334,8.293,J054126.00+253120.4,05412600+2531206
3433036942461933824,94.97787066508612,27.05724394130791,185.36505437251245,5.66628223559173,389.9209085197951,16.649555,8.61189006975111,4.918664644778594,2.5977340032397516,0.12213416118558672,0.7524624921119761,7.488106741801574,0.485314771146923,0.9916611,1.1191113538862978,positive (deficit-like),,,,,,06195467+2703265
382062290446421504,5.909050805933519,42.052173047380975,117.42629254567761,-20.52217860073207,307.3612776457716,13.877699,6.342331399183751,4.058404395890437,1.3111347667083155,0.12039088754857641,0.7377525482834534,7.335364205009422,0.47829417956222,1.044182,-0.3261070462114585,positive (deficit-like),,,,,,00233818+4203079
3428322202241801472,88.28345073669561,25.37023356642321,183.9175438435678,-0.40130435657327806,108.68435215170362,14.5503235,9.355594138367536,5.459130798855374,2.898499293472229,0.021127112927920383,0.7333220536441211,7.289359611222771,0.47616093828899597,1.0730793,0.9030330273979316,positive (deficit-like),10.524,10.34,10.127,8.203,J055308.02+252213.1,05530802+2522136
