theta_range,n_pairs,sigma_dr,n_pos_5sig,n_neg_5sig,neg_over_pos,median_dmag_G
"3.0-6.5""",4306,0.12309683976801788,3,152,50.666666666666664,1.3583563219329706
"6.5-10.3""",4305,0.10587988283703866,3,8,2.6666666666666665,1.1225958145699266
"10.3-19.3""",4305,0.11393212306675038,8,11,1.375,1.2043257979266233
"19.3-119.8""",4306,0.11179314135367885,7,4,0.5714285714285714,1.2007561059484875
