s_max_pc,n_pairs,xi,xi_shuffled,err,n_sigma
1.0,620,0.0009453929452548981,-0.00020988111229168575,0.0008635210790311291,1.337864338925926
2.0,3833,0.0002738048068331523,-3.7081740503388256e-05,0.00016075855489480043,1.933872493068771
4.0,29451,0.00013215854181967079,-2.3655722369359167e-05,3.113994345471528e-05,5.003678456116021
8.0,228982,5.92192629497096e-05,-4.958155524890657e-06,9.572227743031459e-06,6.70454362322513
15.0,1415508,3.241345141085406e-05,-1.1217708081658833e-06,3.7093501286674983e-06,9.04072709659973
25.0,5819048,2.8198190330581784e-05,2.0196849863877597e-06,1.833090137152695e-06,14.281079153508847
