axis,n,rms_of_means,sigma_over_sqrt_n
random subsample,100,0.01238946114925168,0.013013099799812449
random subsample,300,0.007442452138044469,0.007513116672413183
random subsample,1000,0.0037320828044286893,0.004115103478648852
random subsample,3000,0.002316200700504896,0.00237585610114108
random subsample,10000,0.0012442701294321787,0.001301309979981245
random subsample,30000,0.0006922334105456511,0.0007513116672413184
