source_id,ra,dec,l,b,dist_pc,phot_g_mean_mag,M_G,M_Ks,bp_rp0,A_0,residual,residual_sigma,implied_f,ruwe,cstar_nsigma,side,wise_w1mpro,wise_w2mpro,wise_w3mpro,wise_w4mpro,allwise_designation,tmass_designation,w1w2_colour,w1w2_excess,w1w3_colour,w1w3_excess,w1w4_colour,w1w4_excess,any_ir_excess,ir_measured,ir_no_excess_measured,ir_unknown,abs_sigma,simbad_main_id,simbad_otype,known_contaminant,clean_candidate,unverifiable_no_ir_data
954376436508556160,105.32090185088067,46.21944427635777,170.63103432615324,20.83413332781436,438.6898482329824,15.624899,7.259342019550969,4.652892186983603,1.4960538042402596,0.1976615093695314,5.8095637665533735,58.66067635537773,0.9952790003871542,1.0556129,2.5651822921319694,positive (deficit-like),,,,,,07011700+4613104,,False,,False,,False,False,False,False,True,58.66067635537773,,,False,False,True
3869554328680090368,161.2687461371047,9.90033936351471,236.91793942934729,55.610026261708526,298.4549552800176,14.519261,7.106273823345349,4.467085390540445,1.4997124159872788,0.0491073628005759,5.510259357493712,55.64130310469334,0.993780496329768,0.958653,2.7155863292919906,positive (deficit-like),,,,,,10450454+0954014,,False,,False,,False,False,False,False,True,55.64130310469334,,,False,False,True
5876379515799451520,226.15582991398796,-60.785152230752544,318.48360884227634,-1.999948236857868,407.59177572082,16.109898,7.787247923625693,4.791480648595965,1.7938626017199342,0.3635526989756717,5.422948588666129,54.760514877340015,0.9932596874403204,0.96385044,2.1382970183565853,positive (deficit-like),,,,,,15043745-6047060,,False,,False,,False,False,False,False,True,54.760514877340015,,,False,False,True
1106266477462530432,101.1641974744502,68.97763157999051,146.15746134372864,24.594184710466852,471.7235038803951,15.67515,7.1931468892597845,4.530318217769786,1.537231980638336,0.1457052502156759,4.896960582650729,49.454364792437175,0.9890585409728396,1.0749761,2.0104243315809933,positive (deficit-like),,,,,,06443935+6858397,,False,,False,,False,False,False,False,True,49.454364792437175,,,False,False,True
5253606577783304704,160.30506987051223,-62.22255391285484,288.3869606668688,-3.0861671724509976,436.684435024465,15.187691,6.61183372927273,4.109167779732994,1.377722603058803,0.4743951403574025,4.7356957282707945,47.8275301289584,0.9873065060566606,0.99619883,2.628490229664512,positive (deficit-like),,,,,,10411330-6213213,,False,,False,,False,False,False,False,True,47.8275301289584,,,False,False,True
2251311188142608000,301.1443810858881,70.00755146423916,102.79360589661732,19.45330493574197,345.454728025262,15.833275,8.053306809449442,5.132287666335087,1.821774041509035,0.1175450411451139,4.630105174225742,46.76233601634837,0.9860100100744909,1.0414462,2.510672898660013,positive (deficit-like),,,,,,20043466+7000273,,False,,False,,False,False,False,False,True,46.76233601634837,Gaia DR3 2251311188142608000,HV*,False,False,True
6101124945188819456,223.69570162051303,-41.41551442018462,326.4725803333157,15.749961316503123,413.17071467062806,15.608377,7.42902578822545,4.6756876621762045,1.5739759629474217,0.1272553835205309,4.593407623550076,46.39213230560498,0.9855290706898738,1.0453769,2.6535106845670384,positive (deficit-like),,,,,,14544697-4124557,,False,,False,,False,False,False,False,True,46.39213230560498,,,False,False,True
3031812195872243072,110.8942294315097,-14.558658450023657,229.51528171190785,0.3312569944544677,408.6267591120882,16.224096,8.014693079079056,4.688280956560537,2.1087005495485323,0.2126662867111394,4.581546975305855,46.27248246764607,0.985370122781548,0.9703542,2.949435937346793,positive (deficit-like),,,,,,07233460-1433312,,False,,False,,False,False,False,False,True,46.27248246764607,,,False,False,True
4316796007770848384,294.74172997337723,12.695922046991576,49.67501881430497,-4.505478184679253,446.4301433822576,16.46449,7.991840575895913,4.8433872020153785,1.9094570777412527,0.3041265339766903,4.564953538136264,46.10508840725056,0.985144815290902,1.0528084,1.912550946583956,positive (deficit-like),,,,,,19385800+1241451,,False,,False,,False,False,False,False,True,46.10508840725056,,,False,False,True
1856247142643206272,311.6912338407301,27.39141807763697,70.79410873118943,-9.86257362251181,292.7531227828808,13.867703,6.436644195911613,4.207931841501582,1.273198162810606,0.1214676651370808,4.563893814323001,46.09439794751116,0.9851303089328808,1.188373,2.440885837580797,positive (deficit-like),,,,,,20464589+2723290,,False,,False,,False,False,False,False,True,46.09439794751116,,,False,False,True
4036818355402650624,269.1746198394565,-37.99428456874091,353.35706083011297,-6.589987032104313,412.1542784701229,15.849993,7.554999564102047,4.633236073616304,1.7437448649239018,0.2915437044115223,4.5431885258624565,45.88552366356096,0.984844018688221,0.94288635,2.070094713969948,positive (deficit-like),,,,,,17564191-3759391,,False,,False,,False,False,False,False,True,45.88552366356096,,,False,False,True
5941041244842522624,249.35868539400303,-48.206474220738414,336.69641871337274,-0.7208867064912532,487.304254727088,16.276752,7.541087731879834,4.488761632002381,1.6282000665640184,0.3882743259792121,4.515381093400003,45.60500317937856,0.9844508363613492,1.0120875,2.282779914868698,positive (deficit-like),,,,,,16372614-4812227,,False,,False,,False,False,False,False,True,45.60500317937856,,,False,False,True
3297611675815192832,62.56153901860583,7.531079484957535,184.52101177736628,-30.722630004873725,481.2931468439547,16.99295,8.123029073063833,4.9821014692098,1.8171196478226648,0.6190888282036859,4.375306951621907,44.19193974297241,0.9823096391907238,1.0566096,2.774494989909184,positive (deficit-like),,,,,,04101476+0731519,,False,,False,,False,False,False,False,True,44.19193974297241,,,False,False,True
247627168386556160,62.5491116593617,50.81827319420722,151.73441379960695,-0.590134765591773,405.1717458383384,15.026561,6.681882716478314,4.464805751144549,1.1977012585325135,0.3763240125676869,4.368153977220519,44.11978076730535,0.9821927079866036,1.0327148,2.501065420025706,positive (deficit-like),,,,,,04101178+5049060,,False,,False,,False,False,False,False,True,44.11978076730535,,,False,False,True
4179769572978666496,292.490149222762,-18.02242065169842,20.725552629932185,-16.419206484447713,327.15326771564446,16.56531,8.814400485591138,5.290757197047877,2.2484855747611365,0.2513257805871552,4.360451794835081,44.0420813991619,0.9820659344207914,0.95822215,1.7453590888670534,positive (deficit-like),,,,,,19295764-1801201,,False,,False,,False,False,False,False,True,44.0420813991619,,,False,False,True
3614882554942113152,213.3608049643,-9.765147910798555,334.0453475466472,48.09063150344341,436.2726449813811,13.62102,5.339745096128831,3.744681957523301,0.8729870532249246,0.0954959136423765,4.172831177218992,42.14937064395889,0.9786829550706696,1.00602,0.8477134777393145,positive (deficit-like),,,,,,14132660-0945545,,False,,False,,False,False,False,False,True,42.14937064395889,,,False,False,True
5896740340789443840,211.3315094961672,-53.91534342511797,313.7783804077016,7.393096094226503,403.0345588855446,16.050291,7.7771937129920445,5.028882947152669,1.6317450268403877,0.3220545750552001,4.111848242541679,41.53417676060982,0.9774513692687916,0.9191737,2.9159034343962147,positive (deficit-like),,,,,,14051962-5354549,,False,,False,,False,False,False,False,True,41.53417676060982,,,False,False,True
3041186116610952320,113.80164436587728,-9.82551495529497,226.7061498066395,5.085658050051523,387.0152516539691,15.995198,7.974281890547188,5.011256980736408,1.7639135404538722,0.1089648114944514,4.027991410396018,40.68823173539881,0.9756408063887186,0.9783027,2.4779454209880973,positive (deficit-like),,,,,,07351239-0949320,,False,,False,,False,False,False,False,True,40.68823173539881,,,False,False,True
4414521284099216512,232.0505151431662,-2.122842417692726,1.4871164291724943,42.2537592313796,418.6029833014656,15.246327,6.747623694115718,4.372904415970763,1.2671235782869397,0.4850767359005729,3.989259841041625,40.29750890965397,0.9747561532488892,1.0061897,2.417923342240542,positive (deficit-like),12.926,12.926,11.767,7.719,J152812.06-020722.3,15281212-0207220,0.0,False,1.1590000000000007,True,5.207,True,True,True,False,False,40.29750890965397,,,False,False,False
2024878038445376512,292.3075439873965,26.74582601888288,60.880467587801775,4.286494119344331,408.8104044616284,16.772104,8.220222989614802,5.135692698827442,1.8844818840756812,0.6754051987782016,3.913614967755687,39.53440586126071,0.9729346601755456,1.0300767,1.4342344272313694,positive (deficit-like),,,,,,19291381+2644451,,False,,False,,False,False,False,False,True,39.53440586126071,,,False,False,True
451602136001486976,36.62109187563114,50.81296811979909,137.88156117325812,-9.279181779858982,446.0745894478434,16.410244,7.800301606086419,4.753480132857726,1.88068268932366,0.4933960074044836,3.8997301367228414,39.394336132443286,0.9725863150890376,0.9581548,1.7331445399833891,positive (deficit-like),,,,,,02262901+5048470,,False,,False,,False,False,False,False,True,39.394336132443286,,,False,False,True
3169483764764979328,110.70596650676822,16.178171036596183,201.74329162103768,14.10725123593422,357.5865761385268,16.315617,8.517868799408426,5.365038869532839,1.9122784776549335,0.0416316260425026,3.861959156699856,39.013303700973815,0.971615855522,1.0590122,2.5992499113632763,positive (deficit-like),13.022,13.03,11.739,8.299,J072249.42+161041.2,07224942+1610415,-0.007999999999999119,False,1.2829999999999995,True,4.723000000000001,True,True,True,False,False,39.013303700973815,,,False,False,False
188900122041560960,78.16002255813683,40.08242595983041,166.9709630520898,0.5193111982260641,473.0896090963057,15.787093,7.067751145488374,4.49200274692026,1.444802423223098,0.4398388013176459,3.850517339732014,38.8978790194582,0.97131515314719,1.0314301,1.420486259705413,positive (deficit-like),,,,,,05123836+4004572,,False,,False,,False,False,False,False,True,38.8978790194582,,,False,False,True
5964154864715439872,254.0616464523235,-44.50994347592352,341.6136010998111,-0.7977641330930593,446.8353339634672,16.150612,7.41982299945986,4.404391728066108,1.6472673233140172,0.6341634198779045,3.845956118488689,38.85186556627915,0.9711943934772018,0.99887854,1.2499515445681757,positive (deficit-like),,,,,,16561481-4430354,,False,,False,,False,False,False,False,True,38.85186556627915,,,False,False,True
1795749470255029760,330.35826457032005,25.18320460760964,81.09549636925686,-23.563265236753445,237.4608861954803,13.931167,6.955420133868414,4.479121094846558,1.4268110349011875,0.1233481304220642,3.8424043087041326,38.816035023425805,0.9711000063084848,1.0507361,2.5646809033770386,positive (deficit-like),,,,,,22012597+2510598,,False,,False,,False,False,False,False,True,38.816035023425805,,,False,False,True
5934447679778426112,246.49563011304787,-51.053278480494725,333.35110899561806,-1.3140233661911955,446.1136848266953,14.084309,5.598326831753422,3.7743887177935793,1.0416253709068397,0.2854724917902895,3.79018721902318,38.28927070242367,0.9696761329535522,1.0380036,1.3918648518097787,positive (deficit-like),,,,,,16255896-5103114,,False,,False,,False,False,False,False,True,38.28927070242367,,,False,False,True
6467154191433808000,321.3906225703178,-48.54807193286501,350.1630595900577,-45.13566792049519,466.44162642177264,13.924696,5.507300489579952,3.732374343714215,0.9330273504875471,0.0857629204974596,3.782473847161625,38.2114584552051,0.9694599367214568,1.1763374,2.74239721291595,positive (deficit-like),,,,,,21253370-4832531,,False,,False,,False,False,False,False,True,38.2114584552051,,,False,False,True
2946416765573531776,102.29411388391672,-16.427879469107573,227.3945358701823,-7.896224031186397,424.64045030509806,16.937191,8.621548494929769,5.279871599081087,2.070591059782965,0.2433138602531437,3.780207792019125,38.18859856382115,0.9693961295671426,0.91439843,1.57344712433388,positive (deficit-like),,,,,,06491059-1625403,,False,,False,,False,False,False,False,True,38.18859856382115,,,False,False,True
1790246547704609792,321.0484882442475,20.29575510094476,70.79521903986524,-20.972179954693907,461.2959592501204,14.146692,5.682312045538821,3.7817695657051584,1.0291346103117762,0.1718077799351721,3.769051990688799,38.07605919885636,0.969080057674653,0.9617183,2.8565339145143462,positive (deficit-like),,,,,,21241165+2017448,,False,,False,,False,False,False,False,True,38.07605919885636,,,False,False,True
