test,mean_difference,std_difference,err_of_mean,n,rms
paired: edenhofer23/fitz19 - edenhofer23/wangchen19,0.0006863902983521081,0.01793537459655545,8.192573176131135e-05,47927,0.01794831696106668
paired: edenhofer23/fitz19 - GSP-Phot per-star A_G,0.00880145840442286,0.12192031617657287,0.0005569112072660297,47927,0.12223632445614316
