subset,band,N,sigma,threshold_mag,f_detectable,n_pos,n_neg,p_UL,mean_f_UL
all systems,M_G,88149,0.2772645069016736,1.386322534508368,0.7210855683554399,14,41,0.0002482896676408251,0.00017903809610756767
all systems,M_Ks,88149,0.26607692887576256,1.3303846443788128,0.7063390886513785,11,23,0.00020655383783030614,0.00014589704957050306
faint secondary only,M_G,13482,0.2879006280241674,1.439503140120837,0.7344179346517837,0,8,0.0002222023641562075,0.00016318940135834546
faint secondary only,M_Ks,13482,0.28585026329763036,1.4292513164881517,0.731898358272524,0,2,0.0002222023641562075,0.0001626295455302018
