k,n_pos,n_neg,frac_pos,frac_neg
3,338,557,0.01962605969109279,0.03234235280455232
4,115,266,0.006677505516200209,0.015445360585297874
5,21,175,0.0012193705725235164,0.01016142143769597
6,6,146,0.00034839159214957615,0.008477528742306352
