sample,k,thr_mag,f_det,obs,pred_member,pred_global,p_UL,mean_f_UL
all clean,4,0.4382745260924383,0.33213268550302455,206,421.99999999999994,339.4679363683384,0.0016875545211808617,0.0005604920150525703
all clean,5,0.5478431576155478,0.3962422243710393,56,193.0,140.85117555450114,0.0010626192141643966,0.0004210546010799063
all clean,6,0.6574117891386574,0.4541977968977532,19,86.0,63.87861181046026,0.0006900374164894196,0.00031341347434651174
all clean,7,0.766980420661767,0.5065901311151961,10,51.0,33.0430468102942,0.000525948121699134,0.0002664401279313554
clean + bare,4,0.4382745260924383,0.33213268550302455,125,311.71475356148676,250.75157376086042,0.001905162461811416,0.0006327667247609791
clean + bare,5,0.5478431576155478,0.3962422243710393,26,142.56148681840511,104.04120729103563,0.001183619906200018,0.00046900018444253597
clean + bare,6,0.6574117891386574,0.4541977968977532,7,63.524807597838546,47.184610754377964,0.0007286695745085411,0.0003309601154082026
clean + bare,7,0.766980420661767,0.5065901311151961,3,37.67168822662518,24.407595245003623,0.0004297082979346445,0.00021768598299199934
