test,mean_difference,std_difference,err_of_mean,n,rms
paired: edenhofer23/fitz19 - edenhofer23/wangchen19,0.0010747948987748159,0.022789758472804053,1.2504556101543352e-05,3321566,0.02281508533754045
paired: edenhofer23/fitz19 - GSP-Phot per-star A_G,0.009698846844790707,0.12695197126369379,6.965751957234565e-05,3321566,0.12732189829595852
