source_id,ra,dec,residual,alpha,alpha_upper_2sig,deficit_G_mag,dchi2,chi2_fit,cstar_nsigma,ruwe,A_0,l,b,A_0_d,sfr,simbad_id,otype,sep_arcsec,known_contaminant
830429319639671424,158.90446874005286,45.65547051841584,0.3788792609276168,0.75,1.15,0.99636686,158.75653,6.221405,2.48300402269153,1.0466341,0.0352638444592516,169.30676098894995,57.3619204765527,0.0352638444592516,,,,,False
5736499440279539072,134.00630390582512,-12.741901483064591,0.283398426237289,0.6,0.95,0.9536595,161.5938,7.3126526,1.6403384193729915,1.068071,0.069734479520409,239.9864604789918,20.3909020283502,0.069734479520409,,,,,False
1152143982383652992,103.62118499113592,87.26881976562126,0.2490211157264523,0.55,1.05,0.69227517,88.45009,3.187729,2.895501124112219,1.032878,0.03172206530193,126.00081789080814,27.1311992155496,0.03172206530193,,,,,False
6406694486563875328,338.2702198770458,-62.04903559455184,0.5343864816614508,0.7,1.4,0.67429185,75.20022,8.617455,0.4741533772611674,1.074289,0.052276697429592,326.4913755389219,-48.26311200030074,0.052276697429592,,,,,False
1697698631061274752,231.9305563892932,74.39696952240189,0.2565618847219353,0.7,1.4,0.65550977,71.069244,3.9401703,-0.0264410930492584,1.0209457,0.0481880098797105,110.3887257693232,38.6841543347461,0.0481880098797105,,,,,False
6892055679689830912,319.2492174351999,-11.994093344983693,0.4622237777929818,0.7,1.4,0.6539523,70.73192,7.5475693,2.189576286726823,0.9948077,0.0721292302455887,38.70922078829896,-37.67913643732832,0.0721292302455887,,,,,False
4619129716444249600,52.41469824060986,-81.67514831902984,0.3977675980529103,0.7,1.45,0.6335546,66.38827,6.5752945,0.1294930019593897,1.0487176,0.138579522406881,296.5908660158889,-33.403347352029506,0.138579522406881,,,,,False
6186743473259096832,198.7328946297687,-26.46595930719906,0.2708829949310489,0.55,1.15,0.60975695,68.62056,2.3331757,2.5050508556950324,1.1165749,0.1317003310402392,309.442598083369,36.10861160166038,0.1317003310402392,,,,,False
5018212236432844032,26.224698212525464,-33.664715705462285,0.3005417841227649,0.7,1.45,0.603857,60.310303,3.3001099,2.7401891378999417,1.1372896,0.0391754292802244,245.75851830465712,-76.76466024157682,0.0391754292802244,,,,,False
4923627848164781440,1.50344412387599,-54.89148890490176,0.2254664012888838,0.7,1.45,0.5912357,57.81554,3.3064995,1.1293010378871535,1.0721205,0.0430136852463696,316.45257156789097,-61.02831566700113,0.0430136852463696,,,,,False
1342915228398438144,266.479385709549,39.3021348945483,0.2997200728401274,0.2,0.75,0.58649737,86.36383,5.6325455,0.94179486829629,1.0258024,0.0533254568411394,64.9492634187435,28.88414200792812,0.0533254568411394,,,,,False
6453228052034681984,319.43215211130683,-59.193152224252174,0.3700450741344925,0.55,1.3,0.5783047,61.724026,6.988415,0.5034347826582055,1.0624199,0.0521701605007199,336.26930053864334,-41.54672754314188,0.0521701605007199,,,,,False
1775646240169637248,330.05296506080884,16.506319673646345,0.2678351720222744,0.4,1.1,0.57718503,69.52526,4.7147903,1.0527221248074523,0.97916216,0.1403492729944553,74.29324605852902,-29.767303409461203,0.1403492729944553,,,,,False
990017488175200384,107.6861477216445,57.7265582183199,0.4284779980870619,0.5,1.3,0.57610893,63.722538,8.872753,0.6212899985064098,1.029224,0.114029188723154,158.94385136579191,25.18385092890631,0.114029188723154,,,,,False
6683613671205885952,297.13020264907664,-46.06354044919311,0.3834317949893417,0.5,1.3,0.5642569,61.127636,8.406948,0.3405311509570013,1.0374701,0.0572131490853495,352.9996710966945,-28.72336791053217,0.0572131490853495,,,,,False
4672745270669108352,56.80854241598629,-64.60190841697596,0.264734370620868,0.65,1.45,0.5579276,53.32417,3.2957802,0.0667640910370961,1.0389589,0.1308632309006173,278.75854935522034,-43.372211889337535,0.1308632309006173,,,,,False
979747568535384704,108.93077734422307,49.52452795590779,0.3704058615468479,0.4,1.1,0.5531889,63.864487,6.6126633,2.7497298000392187,1.019523,0.1392478745793165,167.9224916789773,24.07685615432564,0.1392478745793165,,,,,False
1349070290194197120,266.0332979160628,43.55368113804302,0.2497275322424634,0.6,1.45,0.54904634,53.561905,3.847725,1.8099132527569055,1.0311245,0.0807925031244655,69.65863876829626,30.05929712386036,0.0807925031244655,,,,,False
2424133009911429376,3.884875102001391,-12.916963717499964,0.0711758510638267,0.05,0.5,0.5467221,87.564835,2.8406143,0.4546724791783291,1.0619694,0.059769380958106,90.58227474506874,-73.49140413316748,0.059769380958106,,,,,False
5065568099161759616,41.50592051906575,-30.51625677795294,0.1131094524858564,0.6,1.35,0.53672874,51.185593,3.242073,0.3280076569636431,1.0045412,0.0615505725313816,227.48032197708852,-64.74295127230414,0.0615505725313816,,2dFGRS TGS393Z045,G,1.0229098797469276,False
373963322154970752,14.53940741126795,39.88682811035108,0.1620513475966198,0.65,1.4,0.5335018,48.75736,3.3843498,0.3532662438275569,0.9911857,0.1100976933845336,124.33186363355908,-22.966655619375395,0.1100976933845336,,,,,False
