source_id,nss_solution_type,ra,dec,l,b,dist_pc,period,period_error,eccentricity,eccentricity_error,a0_mas,significance,goodness_of_fit,m1,m2,m2_min,q_dark,amrf,p_ts99_required,mp_violation,phot_g_mean_mag,bp_rp,ruwe,combination_method,box
5777522322194355840,Orbital,251.06882781007127,-77.38324379178681,314.32952117127155,-20.032946755853818,110.22638149630042,2731.4746923333532,355.96146,0.6578277098533661,0.03276574,8.039801326079838,10.816511,2.0847962,0.60550565,,0.20074216037623638,0.3315281400638762,0.2739177429184876,1.4492152333478883,1884.795735981375,13.327549,1.9482994,14.597071,Orbital+M1,anomalous
6373355679102869760,Orbital,313.3065529234433,-72.38113961104858,321.4668292269287,-34.8271589759492,150.17366931369952,3080.4902530863583,638.3213,0.9030603687383413,0.027999101,4.732429851903183,6.4287686,8.35035,1.1229548,,0.2074859019337094,0.1847678050265169,0.16502033718378262,2.079230211640469,1481.5532382322956,9.637041,0.7004328,7.1637545,Orbital+M1,anomalous
2183082746433458560,Orbital,312.60161172692875,55.343259397659835,93.09136065366964,7.123339477575463,172.6278754893696,2518.2928582582513,406.65512,0.8489182917511245,0.023403298,4.829854292408735,12.139538,-0.40953556,0.63492256,,0.2048722146388555,0.32267275766446724,0.2677897983561399,1.8139535099790722,1388.2896360928814,14.168525,1.9508,7.6014404,Orbital+M1,anomalous
1934784536654980096,AstroSpectroSB1,344.8556152157364,44.35062840115422,102.68068030919454,-14.071994671676716,57.30372758778771,4665.870039757622,1038.1399,0.7866100437198658,0.028501524,23.033097157868216,8.193102,14.895756,0.6385212,0.23338246,0.2178041413288787,0.341107144475848,0.28048856787905463,3.4339095100062957,1358.763248175712,11.063039,1.6041918,15.58067,AstroSpectroSB1+M1,anomalous
535296278209264384,Orbital,17.03665648872503,72.83663113502327,124.18262109971475,10.005469237978621,123.74303705392663,1813.911933114726,229.69983,0.5333828797947042,0.05412806,5.5170912050573335,11.722073,1.8339423,0.58885586,,0.20028585974951366,0.340127138854037,0.27981905423178166,1.4127230362312868,1283.9826962499942,13.696947,1.9463501,13.384728,Orbital+M1,anomalous
4630144589571330688,AstroSpectroSB1,10.508564998175665,-82.23971742573777,303.3187787071355,-34.88146781817496,119.9467565436712,2137.191038340334,320.28717,0.7386881509211464,0.019872563,6.093172166645566,9.947584,9.105449,0.6552921,0.40314436,0.20332803050274637,0.3102861036182961,0.25913032264098806,1.6700953752987244,1279.6820289129068,12.656824,1.8584929,7.137701,AstroSpectroSB1+M1,anomalous
445496036835235712,AstroSpectroSB1,58.215894338202915,55.9271705825135,146.43257303516972,1.5661466714008898,52.76286713070024,2618.731912606622,184.8133,0.7580593999014363,0.012324119,16.759037479594326,26.361275,12.31,0.6104778,0.28792503,0.2081066225602002,0.34089138181408885,0.2803412177505089,2.146444862356443,1220.0322302859834,11.700148,2.0443306,17.697348,AstroSpectroSB1+M1,anomalous
4706692142420518656,Orbital,3.518189507624441,-67.63782153847032,308.3435896448339,-49.095953146692885,190.6706278985093,2549.4542838695743,558.2393,0.8200107000486289,0.039426718,4.411161970675531,7.4227037,-2.5303514,0.6552649,,0.20893332552751517,0.3188532165421284,0.2651305832399986,2.2385749615771657,1138.8737601502437,14.116562,1.8484344,5.307763,Orbital+M1,anomalous
6604449551263932416,Orbital,343.29846704138527,-30.542754405674362,18.33179367773334,-63.955042815398734,183.15312537869022,1586.9114400317885,222.4778,0.6773486860162141,0.05120754,3.1122975875324186,11.980955,-0.14220181,0.70519316,,0.20038818846613993,0.28416070840495666,0.24051995192293504,1.4208437954747497,1116.879593017859,13.227621,1.4718208,10.887006,Orbital+M1,anomalous
5984297406649971968,Orbital,239.53156537269354,-48.23526528615825,331.9841895953972,3.8215722114361146,108.01019745159695,1757.4696688762665,371.7484,0.706272202742085,0.04465576,4.787508139559516,5.8789244,4.4762554,0.97814894,,0.20269210644325567,0.20722008554057275,0.18277110897033721,1.6135019460108997,1089.2268665812903,9.466793,0.8235922,6.1520762,Orbital+M1,anomalous
