class,n,median_resid,robust_sigma,n_dim,n_bright,frac_dim,dim_bright_ratio
RETAINED (reference),3884998,-0.017500736148165164,0.17915119157820475,79961,15841,0.020581992577602355,5.047724259832082
variable (phot_variable_flag),333584,-0.016229955685898467,0.16080253734779484,22698,126,0.06804283179049354,180.14285714285714
C* beyond 3 sigma,31619,0.19216663153814473,0.23623624556539283,3615,37,0.11432999146083052,97.70270270270271
classified extragalactic,186301,0.03514306416117918,0.20627497977561976,10673,177,0.05728901079435966,60.29943502824859
2MASS Ks not 'A',11112,0.15119326680115996,0.23681846849177582,1260,18,0.11339092872570194,70.0
