source_id,ra,dec,residual,alpha,alpha_upper_2sig,deficit_G_mag,dchi2,chi2_fit,cstar_nsigma,ruwe,A_0
3851696607014656,46.893292178269135,5.4497144261347445,0.4174096149991833,0.1,0.95,0.42571995,50.359097,11.785759,0.1755099123743109,1.0989621,0.22993307982684327
35773783336621952,44.28250431602619,17.92168865014615,0.13925715164721275,0.2,1.25,0.31704026,25.23647,2.7603092,-4.062876362479739e-05,0.9966745,0.7080033763720425
44315683015554560,54.01004377717397,17.195533344360335,0.1906686812811751,-0.6,0.35,0.22398125,32.87905,4.396744,0.9365075820506222,1.0761455,0.41007303419663155
92807027721985408,31.118451484638264,18.92642596569998,0.22042457087787248,-1.0,-0.45,0.18632506,40.52455,10.46035,0.13526338079529113,1.0072773,0.26338591280885143
83278870409384064,38.93784738367769,19.03498790887815,0.4729247880232039,0.05,1.25,0.34559324,34.98863,13.318115,0.6141084900939073,0.97867167,0.2863109489936003
92747452230844160,30.851455443868954,18.287378794739134,-0.1302595361857044,-1.0,-0.6,0.16023478,29.970171,5.796232,0.1656626984829669,0.98306286,0.2124486658030036
95606831002952448,27.261350768599087,20.09184399498957,0.27048965917513534,-1.0,-0.2,0.17684057,36.503918,8.219318,0.5430550776112957,1.071411,0.20842116047251538
84420541435885568,43.69191965092023,20.366100611331625,0.2647275539055869,0.25,0.75,0.67128414,107.78619,8.7778015,0.5382034254070044,0.9365605,0.3359338893363033
126782967812516224,40.858923910110136,26.932861452496482,0.1426697275021498,-1.0,-0.35,0.19595782,44.822994,6.2044067,0.33425790997337973,0.97737914,0.3580490462453547
121201576207613568,54.15240798667657,31.07648554371036,-0.09586768577822546,-1.0,-0.65,0.18419467,39.603153,8.754627,0.9580027482482107,1.0458367,0.10197688271029846
121011463775037184,52.23601382984247,31.03295700365861,0.09627319339432283,1.1,1.4,1.4075252,259.77045,9.714966,0.20651423708268468,1.0401162,0.6791102642960829
133534282743451392,41.019042259390325,32.36906455329913,0.13230399444898033,-0.15,0.85,0.27789778,28.348507,2.347355,0.009559513400201074,1.0654606,0.3475225218921142
116370184676073984,43.059415724718875,27.636320584446512,-0.11639091152924141,-1.0,-0.25,0.18820651,41.34709,5.4199295,0.17749866087098554,1.0030093,0.44572016771842526
139720994152319488,42.267705224014676,33.70149844711913,0.19833173455072917,-0.05,0.85,0.33500597,36.701927,8.724049,0.40030229656422245,0.908088,0.2497483725016375
195798453695012352,83.18558855067367,44.05435823714274,0.2716187232487517,0.4,1.35,0.44688034,41.67686,4.4384613,-0.10592989616677753,1.0039421,0.3704382217058383
195216988141320832,80.53268708350218,42.205323519489056,-0.038589867634132524,-0.7,0.1,0.22577216,38.42324,1.8253479,-0.10890506731125725,1.018659,0.15162076027684399
195217430520127616,80.50348703547888,42.223643148896294,0.10942994283394647,-1.0,-0.05,0.15865625,29.382591,2.1328335,0.012133765478527264,0.997895,0.0354733019972957
188919393557240960,78.44857873282015,40.221114911528325,0.11184507296409407,-0.1,0.9,0.27330306,25.862429,2.2050838,0.27694188606396075,1.0378567,0.2792734033967493
187574003639853824,80.05886914034053,38.12558624390402,0.23701789603081735,-0.45,0.45,0.25279278,34.186825,5.5779495,0.4627702875136947,0.91119677,0.20997694951373408
187523670921606784,80.3179087543903,38.07052636466787,0.12773994732025606,-0.6,0.5,0.19622795,25.235836,1.8507576,0.3957722916532318,1.0123891,0.32683881924963154
205778312721329920,75.36664265693496,44.555794974492635,0.04890405329607539,-1.0,-0.7,0.2409638,67.77652,9.572586,-0.4538601903668623,1.0644895,0.2296632826731877
205018137870618368,73.45747822429894,42.93152941377199,0.14008563894834314,0.5,1.4,0.48142925,44.498848,2.5305061,0.7315360051842187,1.0989134,0.3485842918516602
182104659143715200,79.25770321664675,34.688656266866026,-0.022444665002829822,-1.0,-0.5,0.31758574,117.732834,12.583359,0.2612603747733718,0.986002,0.35346009517086513
182202099063577216,77.84577879549637,34.371506645357286,0.21943235046294518,0.3,1.35,0.36758423,30.836485,2.5744648,0.1328366252593741,0.951339,0.5454648178940511
213337111564146048,79.8619157172893,49.34994424766221,0.3645789386177256,-1.0,0.05,0.16587383,32.116734,12.631054,-0.012740692472156326,0.9589929,0.4227308497260616
205844249058706048,75.55607204605944,45.0312106404002,0.020692311375703376,-1.0,-0.55,0.24808608,71.84233,5.956749,0.2791997121421615,1.0193529,0.41759916790313617
198962229685989376,74.92933289855513,38.86282910639971,-0.061264688777967535,-0.55,0.35,0.2039899,25.462856,3.1455154,0.5788269757718882,1.0381602,0.2909761802057851
182293289810763264,79.21966964013293,34.77120468559789,0.19726999790015753,-0.95,0.05,0.15351778,25.53643,1.264471,0.24831114418572237,0.89399976,0.37817992415256807
192337195388285568,87.39836650257402,41.76165851610528,0.3066629046643303,-0.65,0.3,0.22424005,35.327858,9.001644,0.7994235660536457,1.0658187,0.25339987591703006
208966239309499136,81.71664473073352,46.0279417821175,0.18950535533626756,0.35,1.45,0.36609244,29.227148,2.0985699,0.698637797147954,1.0640146,0.4175628926071224
180518712403243648,77.44896719975209,31.3838290643422,0.3217633998326139,0.3,1.35,0.36148983,29.82245,2.5846767,0.15370855288200605,0.96995693,0.39209456362848494
213168199090702592,77.36670524899743,48.15252821962404,0.26182901816426707,-0.4,0.35,0.31556046,49.88649,7.2256737,0.3258508992658765,1.0468878,0.17720521454405586
237496749282776320,54.6865055879689,42.33150190127259,0.1693315297845972,0.2,1.25,0.3521968,31.143728,2.5194645,0.3509253520047534,1.0205473,0.31422334475842073
245209651553812096,57.256100561882235,46.486278391182886,0.3360100587586965,-0.05,0.65,0.41908112,57.43544,10.041893,0.20160330093122958,0.95949185,0.45848934876253394
238207824069127424,53.39324643258411,42.491587331576305,0.3753050329344667,-0.4,0.95,0.2283142,26.114616,10.043053,0.38797625412159203,0.9968916,0.4102319829017195
230398061696422656,61.3105408285642,41.36630060263298,0.08670936212275215,-1.0,-0.5,0.14864081,25.790024,7.1106186,0.4204574223494182,0.98974425,0.19305985528731476
233826064074079872,64.62918817280524,46.693216963167714,0.005530121689199419,-1.0,-0.3,0.18220015,38.750126,1.351471,-0.2701128585966563,1.0038061,0.47971900859631544
239006035147402624,47.177431867004884,40.148958734063946,0.2301618210382621,-0.4,0.6,0.25164005,31.72322,9.540993,-0.09595651555928453,1.0644718,0.13854078845458082
239051561800772864,46.946423573209444,40.06802905597207,0.2516528235400468,-0.65,0.5,0.19703099,27.274702,7.0557423,-0.6908293738455918,1.0480673,0.3633699060068571
254655762105806080,74.10409843001193,46.597598693369314,0.447220656013986,0.2,1.4,0.36982134,34.338688,11.340809,-0.2519196283402001,0.9610925,0.4717342431188487
259427883089806080,72.66117151442103,50.43326250095853,0.09666987379428527,-0.85,-0.05,0.20047186,37.587204,5.012764,-0.4831725548664088,0.96427846,0.15854102329129374
255223075744529024,76.7465588509987,48.271496523201364,0.31157110118750975,-0.25,0.85,0.28237247,33.025536,9.85424,0.8971179457102374,1.0336351,0.1897097318661118
261355047796379520,78.54646070040243,49.09778581960744,0.348147222839124,-0.6,0.1,0.3070867,61.804203,8.793354,0.9889676935996721,0.98729235,0.26037247297433047
263270156531982080,79.55874595041608,52.80610316689474,0.1872563812868311,-1.0,-0.25,0.18253174,38.8913,7.145611,-0.09817210358922061,1.0502415,0.30676299108921035
283793851031128576,74.76181060353315,58.310818226335705,0.1041079458563674,-0.5,0.5,0.20989698,25.194529,4.10787,0.013532409402642206,0.98468775,0.5041863424557388
289209736069994112,23.356720516613095,22.525007490958213,0.06321869523795876,-1.0,-0.6,0.14941685,26.060026,12.115374,-0.39163859574710913,0.990195,0.24983582439085103
309641788850320640,18.087001142053538,28.908883576194636,0.039955257282310086,-0.55,0.35,0.22100195,29.886978,3.6964912,-0.31134153457161823,1.0290495,0.13543906102868541
303915360494320896,25.62982434877372,32.20335479610578,0.27617023388105366,-0.1,1.05,0.27096164,25.421196,3.4115448,0.5382335312302792,0.9677394,0.10554842817638943
323951898326756608,23.441413878559054,40.495918213241396,0.2917055511940765,0.15,1.25,0.3453979,31.487225,4.510029,0.5492619586146965,1.0581254,0.10535127889433318
337078280457007744,41.066415042087804,42.22517826606669,0.11244270553758007,0.1,1.2,0.32971534,30.207045,5.86384,0.7700038610492409,0.98765975,0.06058507498531775
333325265017985920,39.4574771406248,36.44664749911754,0.39660870986463514,-0.5,0.5,0.25972337,38.575882,12.650192,0.5609295347793778,1.0620681,0.13114306832606784
357901583282161024,28.135413945862254,49.94077109636994,0.21044167450114948,0.45,1.3,0.45404872,41.236134,4.32901,0.2942396664107265,0.9810906,0.22477683950351213
