axis,n,rms_of_means,sigma_over_sqrt_n
random subsample,100,0.003597601956650852,0.0036244298964113715
random subsample,300,0.0019986242866644596,0.0020925655763520323
random subsample,1000,0.0012322213119864104,0.0011461453692268072
random subsample,3000,0.0006007284013468507,0.0006617273374535401
random subsample,10000,0.0003854189357442599,0.00036244298964113714
random subsample,30000,0.00018795037128405235,0.00020925655763520326
