subsample,N,f,sigma,n_pos,efficiency,p_UL,mean_f_UL
all stars (paper Sec 5.3),3321566,0.3,0.09912799253680192,19844,0.16872342744356125,0.035825035606883916,0.010747510682065175
all stars (paper Sec 5.3),3321566,0.5,0.09912799253680192,19844,0.9859746878430234,0.00613050504278607,0.003065252521393035
all stars (paper Sec 5.3),3321566,0.9,0.09912799253680192,19844,0.9999984946859403,0.006044531894799922,0.00544007870531993
bare photosphere only,2897070,0.3,0.09703861557516455,15330,0.181135077854522,0.029604391518215967,0.00888131745546479
bare photosphere only,2897070,0.5,0.09703861557516455,15330,0.9885128768031148,0.005424708052190446,0.002712354026095223
bare photosphere only,2897070,0.9,0.09703861557516455,15330,1.0,0.0053623937624877995,0.00482615438623902
