alpha,dm_G,dm_Ks,ratio_dmG_dmKs,residual_per_dmG,residual_mag
0.0,0.054286810237906345,0.05428681023790621,1.0000000000000024,-0.2464072147672282,-0.013376661709319553
0.25,0.052659460655645085,0.039165205286019404,1.3445470353360476,0.07299099101006006,0.003843666219310801
0.5,0.05124266269728857,0.02825785562367053,1.8133953042906956,0.31266656982176333,0.016021867574094843
0.75,0.05002421121456199,0.02038971999259408,2.4534035402512493,0.4919681192603201,0.024610317108709076
1.0,0.04899323625595735,0.014713526832255868,3.329809148718271,0.6256820859396686,0.03065419025756239
1.5,0.047456394765604426,0.00766351818015442,6.192507625087695,0.7987233459806066,0.03790453041536011
2.0,0.046568672959270176,0.003992755990973791,11.663290485205076,0.8931341702971127,0.04159207308531536
3.0,0.04656539092893355,0.0010848208234154253,42.924499533783035,0.9709628014699095,0.04521326242789884
4.0,0.048759825297218215,0.0002950984239460673,165.23241515559448,0.9924566422781297,0.0483920124925454
