column,quantile,range,n,pos_rate,neg_rate,asymmetry,ratio_pos_neg
ruwe,Q1,0.4548..0.9783,830392,0.0038909334386651125,0.00037572616306515475,0.003515207275599958,10.355769230769232
ruwe,Q2,0.9783..1.01,830390,0.005363744746444442,0.0003817483351196426,0.0049819964113247996,14.050473186119874
ruwe,Q3,1.01..1.042,830391,0.00670647923688961,0.00032635228464663034,0.00638012695224298,20.54981549815498
ruwe,Q4,1.042..1.387,830393,0.007936001387294932,0.00027216029036853637,0.007663841096926396,29.15929203539823
ipd_frac_multi_peak,Q1,0..2,3321566,0.0059742904401116825,0.00033899672624298295,0.0056352937138687,17.623445825932507
astrometric_excess_noise,Q1,0..0.04538,2491174,0.004143026540899993,0.00035204285208500087,0.0037909836888149924,11.768529076396808
astrometric_excess_noise,Q2,0.04538..0.8095,830392,0.011468077727145734,0.000299858380138537,0.011168219347007197,38.24497991967872
cstar_nsigma,Q1,-2.996..-0.2833,830392,0.0008152776038304801,0.0002288075993024981,0.000586470004527982,3.5631578947368423
cstar_nsigma,Q2,-0.2833..0.009634,830391,0.0017991524474614972,0.0006551130732389923,0.0011440393742225049,2.746323529411765
cstar_nsigma,Q3,0.009634..0.3574,830391,0.004553276709405569,0.00038415637934418847,0.004169120330061381,11.852664576802507
cstar_nsigma,Q4,0.3574..3,830392,0.016729448260580544,8.791028815306505e-05,0.01664153797242748,190.3013698630137
