axis,n,rms_of_means,sigma_over_sqrt_n
random subsample,100,0.019009945610787712,0.018254169038778554
random subsample,300,0.01010734654084525,0.010539049408371729
random subsample,1000,0.005401489361040306,0.0057724750956266715
random subsample,3000,0.003189557018381664,0.0033327400503504697
random subsample,10000,0.0017752732062169445,0.0018254169038778552
random subsample,30000,0.0010319944905543515,0.001053904940837173
