chi2,T,beta,T_blackbody,chi2_blackbody,chi2_dust,n_bands,ra,dec,glon,glat,excluded
48.77405411183762,36.5,1.0999999999999996,39.5,5929.09554529461,112.3388447060506,5,287.570778,-37.1440378,0.358427,-19.4875088,True
16.601199591978606,2.75,-0.5,2.25,20.309598508577675,46.195036171054355,4,337.676142,-39.6915967,0.5094974,-58.3145405,False
6.017187190917307,5.0,-0.5,3.75,9.934669576684056,25.259131601799965,4,339.2893253,-39.3567764,0.600431,-59.6022635,False
1.7634971795810526,2.0,-0.5,2.0,4.3768117482317805,39.39926429091232,3,317.4097018,-41.1570854,0.6980353,-42.8526764,False
14.24778930254736,3.25,-0.5,2.75,23.985250101439032,86.25945665202771,4,229.159472,0.2488995,1.3729994,45.9918281,True
107.00832808735366,3.25,-0.5,2.5,141.66443024264598,350.1024216939771,5,299.4921986,-38.7539334,1.575082,-28.9533311,True
21.998199616972766,3.25,-0.5,2.75,29.409616840970987,65.63631094164958,4,213.983672,13.3416811,2.1978466,65.9230462,False
32.23048717498128,2.75,-0.5,2.25,42.177437960176356,147.8597482196435,4,201.7331507,22.1791342,3.3103444,80.5424116,False
4.861368668238997,2.25,-0.5,2.0,6.253205184425957,38.0901793415297,3,341.786949,-36.9550847,4.537279,-62.0408253,False
18.447588592134082,39.0,0.9999999999999996,39.5,263.2566578323746,25.676417042019786,5,259.3672005,-18.5565746,5.2792211,11.0236767,True
5.405756705532056,2.25,-0.45,2.0,6.691770541425209,41.47915915779431,3,314.4260435,-37.5476181,5.3343734,-40.3362663,False
3.881217363151999,2.25,-0.5,2.0,6.02704541518861,55.86601515454368,3,233.7195072,1.5524825,6.8143812,43.2524131,False
21.100581084322684,2.5,-0.5,2.25,23.99338104210001,47.810677538989154,4,299.2448173,-32.4251804,8.4564638,-27.1561465,True
30.285871082111385,2.5,-0.5,2.0,38.031554673290046,155.28998209428767,4,209.28123,19.3000427,8.9583244,73.0217597,False
2726.52327926237,3.0,-0.5,2.5,3505.330605859797,8313.877969374887,6,291.2190025,-29.2396144,9.3482054,-19.6111604,True
1.3631560916293923,2.5,-0.5,2.0,2.0871394104169485,15.79279347863251,3,239.4637986,-0.0382595,9.5697385,37.6724368,False
4.292599581653372,2.75,-0.5,2.25,5.8244793535271135,30.08324086433375,3,306.1263504,-32.8762081,9.6597597,-32.8726882,False
61.64981855602902,4.0,-0.5,3.0,76.06090784192799,123.2902069345134,5,250.4927242,-6.3419118,10.8291651,25.0341997,True
92.40293277074099,3.25,-0.5,2.5,126.91470909328535,329.00252479587107,5,237.3585241,2.6116135,10.829382,40.9130232,True
4.707866737744713,2.25,-0.5,2.0,6.8161683856275435,75.74421508047715,3,226.0985303,10.4824981,11.3598506,54.5788759,False
15.339518536736154,3.5,-0.5,2.75,21.70805181456396,55.15018901797661,4,314.099563,-32.1574309,12.2337103,-39.305598,False
0.9496253996935228,2.5,-0.5,2.0,2.260629247389618,58.22387272245259,3,342.1601425,-32.6167252,13.7650085,-62.9185919,False
2.4477241498479714,3.5,-0.5,2.75,3.0697352029188325,6.637910966896417,3,358.4351361,-30.6358937,13.9920191,-76.9029693,False
73.16899978318443,2.75,-0.5,2.25,101.22318655667456,324.3309420685308,4,237.643412,5.4801521,14.2450767,42.2483122,False
0.6266485137615903,2.25,-0.4,2.0,0.8970118193614668,16.407080903799464,3,306.4568471,-28.7344488,14.49944,-32.1143746,False
2.320410270227941,2.0,-0.5,2.0,6.715858782873454,46.01612042181403,3,348.7135561,-31.6931029,14.8661467,-68.5241446,False
3.173168101740313,2.5,-0.45,2.25,4.976845395008944,67.53390806534264,3,315.2618919,-29.5385799,15.8173121,-39.7715698,False
1.5967252689446307,3.75,-0.5,3.0,3.8857016906928115,15.023638330681203,4,335.8323496,-31.5899695,16.004533,-57.5753481,False
102.66029433707965,3.25,-0.5,2.5,147.4898943353602,397.161153550476,5,287.7847949,-20.0931524,16.8929894,-13.2036627,True
23.007688202031346,3.25,-0.5,2.75,30.39510292848052,60.8045909503594,4,327.9990707,-30.4585948,17.0897896,-50.7990046,False
190.32598996562757,3.0,-0.5,2.5,239.08081165658177,556.9710694487383,6,290.904131,-21.0695746,17.1921797,-16.2691082,True
1.1007833373387883,2.75,-0.45,2.5,1.9160769870658738,16.146405052480556,3,329.7228313,-30.2317915,17.7213289,-52.2515908,False
2.5484638167092513,2.75,-0.5,2.25,3.4480327210112507,17.51603266759204,3,241.522964,6.3310315,17.8438911,39.3841902,False
0.3692451417595516,2.25,-0.35000000000000003,2.0,0.6277269416631291,21.45421126879263,3,221.646761,17.3514426,18.7654781,61.7017197,False
0.5832913699461133,2.75,-0.5,2.25,0.98730877552231,12.843459450891826,3,301.5006712,-23.150984,19.014521,-26.1575225,True
0.5354628730542402,2.75,-0.5,2.25,0.9340868918590312,14.525874557003908,3,252.7530696,1.4794511,19.5542106,27.2612647,False
4.3300881527404975,2.25,-0.5,2.0,5.578112479218207,27.59868371263694,3,327.7318029,-28.2366454,20.4997598,-50.2573803,False
2.586613566789692,3.5,-0.5,2.75,3.5483032058476542,10.64768833144486,3,257.2105271,0.557848,21.1085073,22.9332232,True
41.595544872997124,2.0,-0.5,2.0,59.60760217289938,292.7971057433702,4,260.1273116,-0.9938309,21.1938958,19.6304413,True
18.731737700972914,3.0,-0.5,2.5,24.74405456939332,60.0456907828836,4,327.8486344,-27.7161444,21.3295641,-50.2712721,False
5.958978609611773,2.25,-0.5,2.0,7.484657109450885,36.331729624033464,3,316.8345651,-25.4551226,21.4246463,-40.1698551,False
2.134921258697935,2.25,-0.4,2.0,2.7371638070193898,23.309899453054932,3,202.6216956,25.1286408,22.2648893,81.0129429,False
17.351371416616992,3.0,-0.5,2.25,20.672282180272354,45.890135020049016,4,231.1632576,15.3700369,22.5834799,52.5878269,False
23.04341784343105,8.75,-0.5,6.5,33.894060029603416,53.07347852993779,4,240.9036042,11.0841428,22.9788973,42.1885437,False
1.740634805241002,2.5,-0.5,2.25,2.8790504689420167,32.07003574402349,3,242.2023645,10.5045613,23.0565584,40.7884984,False
4.6615027080394285,2.25,-0.45,2.0,5.856167743779218,35.970117633502355,3,238.3762659,12.9287624,23.7594213,45.2208559,False
3.1466691996440863,2.75,-0.5,2.25,4.609888636998672,48.288469252423475,3,262.6447615,0.3937661,23.7643232,18.0985458,True
2.7048475695356418,2.0,-0.4,2.0,4.993777258901316,57.68595899249408,3,301.3208919,-18.3682946,23.8797949,-24.277803,True
56.003856582053075,3.0,-0.5,2.5,78.85900159424423,267.9327845739676,4,300.2214239,-17.8293181,23.9899414,-23.1062751,True
8.408213368237607,3.5,-0.5,2.75,13.352322848375978,35.90313419898372,4,235.2224903,14.7972117,24.3388285,48.7858775,False
439.64372357230263,3.25,-0.5,2.5,555.6956788098587,1207.050720233776,6,344.5156537,-27.9610215,24.4121834,-64.9113377,False
24.153417725113222,2.75,-0.5,2.25,28.333667192473342,63.70415228026202,4,333.2464736,-25.4807068,26.4129394,-54.5968833,False
39.111329630043976,2.75,-0.5,2.25,56.27234237891096,237.49120752330364,4,254.5565018,7.6903323,26.7080321,28.633006,True
36.76668079865624,2.5,-0.5,2.25,46.63758030972528,154.56817452963435,4,302.8292951,-15.79625,27.0969457,-24.6202004,True
24.462896206485123,2.75,-0.5,2.25,32.53263131169057,132.51350730739225,4,262.0921189,4.4422761,27.2798239,20.4834648,True
2.3046933265426013,2.5,-0.45,2.25,3.5485273181512538,44.27156644418802,3,229.2352927,19.5383689,27.9882202,55.8739601,False
31.425461228215568,3.25,-0.5,2.5,42.36567203749563,113.86562414009336,4,300.1625247,-13.428305,28.3288472,-21.3067473,True
1.3124465994792534,2.5,-0.45,2.25,2.120437482672566,28.444946670368548,3,340.858498,-25.7338019,28.3706271,-61.3869225,False
2.499371893554411,2.75,-0.5,2.25,3.306196040825604,23.647466428712654,3,241.7898672,15.8486747,29.3712854,43.3932438,False
21.386067544737408,3.0,-0.5,2.5,29.736117544872798,89.80226570052648,4,298.675485,-11.3898672,29.6595434,-19.1375922,True
6.520839939809209,2.75,-0.5,2.5,7.912749092158219,18.978251587569822,3,219.1514824,23.3491648,29.751025,65.9647113,False
2.844885833854686,3.5,-0.5,2.75,3.5876988991951464,7.675659762108613,3,270.9752417,3.6792321,30.7856331,12.2491217,True
2.153494240500338,2.5,-0.5,2.0,2.8608434184870326,16.227523805845884,3,263.7918921,8.1476561,31.6261764,20.6362397,True
28.38271756143535,4.0,-0.5,3.25,39.77433040423921,77.38475074222353,4,260.6925129,10.2461561,32.2407925,24.3024188,True
1.542680217964684,2.75,-0.5,2.25,2.056059136153614,10.816129827391013,3,339.0793548,-23.1386513,32.7960508,-59.2507619,False
1.5562688159796756,2.25,-0.5,2.0,2.228073745777582,19.748271139572694,3,273.3609144,6.2731969,34.2437874,11.2922817,True
105.77076814190113,4.25,-0.5,3.25,134.11197319034565,215.36187934725115,6,273.0301666,6.8669988,34.6373828,11.850743,True
4.1474753003154134,2.75,-0.5,2.25,5.788264172421934,24.67756358718302,3,262.0185798,12.2755089,34.8576468,23.9753378,True
463.0866933676418,3.0,-0.5,2.5,626.6170566716905,1946.6608947858256,6,267.883419,9.6649177,34.931905,17.6544464,True
1.8919728246771945,2.25,-0.5,2.0,2.88267961164738,24.603379359680808,3,205.5412518,27.1674187,36.0326328,78.7200978,False
7.826199138704785,2.25,-0.45,2.0,10.063079774870742,79.28868158218275,3,331.535927,-18.5968361,36.6561815,-51.1592869,False
27.261426480743403,3.25,-0.5,2.75,43.633550869673165,140.84187174018734,4,306.4175949,-7.5934256,36.9009773,-24.3836894,True
1.0632807309813994,3.0,-0.5,2.5,1.9673151945522163,20.135554116170496,3,203.3120359,27.425183,37.1579006,80.7077173,False
3.8042900565498536,3.5,-0.5,2.75,4.530137175957897,8.472257694867157,3,256.8888168,16.7984106,37.3205381,30.3237978,False
9.31413079832111,3.5,-0.5,2.75,11.58749831308845,27.008575421919822,3,316.0247638,-11.3570461,37.7588991,-34.5505708,False
12.083819273861877,3.5,-0.5,2.75,15.730734714810563,31.013873750751145,4,214.9684326,27.0809041,37.8824304,70.3447149,False
21.005784724404652,3.5,-0.5,2.75,31.443194051570455,80.69827638180837,4,326.5862485,-15.4270677,38.432427,-45.5866519,True
