test,mean_difference,std_difference,err_of_mean,n,rms
paired: edenhofer23/fitz19 - edenhofer23/wangchen19,5.1205600799906904e-05,0.028485789332505947,1.5629922152537784e-05,3321566,0.028485831067655308
paired: edenhofer23/fitz19 - GSP-Phot per-star A_G,0.007023960426879168,0.11148976465804783,6.117353189934402e-05,3321566,0.11171078686225537
