distance_max_pc,n_stars,median_A_0,p90_A_0,sigma_mag,naive_sigma_over_sqrtN,spatial_plateau_mag,worst_split,worst_split_mag,floor_mag,floor_over_naive,floor_implied_f
200.0,67061,0.03252175102472254,0.1089652911014008,0.08504308971670736,0.00032840065723551,0.015391550765832901,colour (blue vs red half),-0.048944587374776596,0.048944587374776596,149.03924915009034,0.04407864208420409
300.0,172126,0.061101942222152913,0.26445334159582456,0.09752330684905407,0.0002350634905370724,0.015734666916794832,colour (blue vs red half),-0.0674913524722753,0.0674913524722753,287.11967272361716,0.06026920482196563
500.0,480700,0.10991935523690521,0.3621826413125375,0.09831849512710436,0.0001418071606860525,0.02272656547591306,colour (blue vs red half),-0.04888084904164608,0.04888084904164608,344.69944116477734,0.04402252290705566
750.0,945934,0.14432613095063368,0.3971133776983648,0.09149853603501103,9.407705800341005e-05,0.023004366639673597,colour (blue vs red half),-0.03193821289538908,0.03193821289538908,339.4899199997454,0.028987736651945095
1000.0,1265254,0.16025132866543845,0.41117002513363243,0.08905454541417941,7.917120073095283e-05,0.02310177303272497,colour (blue vs red half),-0.027853318863675355,0.027853318863675355,351.8112471014451,0.025327590523675503
1250.0,1383542,0.1658396832082863,0.4131696803040096,0.08831202702420149,7.507989895889202e-05,0.02345763121158155,extinction quartile (low vs high A_0),-0.040256306992805586,0.040256306992805586,536.1795573918772,0.036398478195753814
