s_max_pc,n_pairs,xi,xi_shuffled,err,n_sigma
1.0,228,0.0006076277883385694,0.0004299676616659152,0.0002795215706827603,0.6355864638235287
2.0,1577,1.4274971850431108e-05,1.150164374197062e-05,0.00016976236428939239,0.016336530891692933
4.0,12702,0.00012709618500060296,6.29995120580895e-06,5.138110300513257e-05,2.3509856100739492
8.0,99691,0.00011043332148703437,-7.715281550572827e-06,1.9456615781160154e-05,6.0724128166220215
15.0,624393,7.944522964576109e-05,2.6789383708492017e-06,6.995923591709882e-06,10.973003102246482
25.0,2625596,6.24767694081767e-05,-3.1549641019595104e-06,3.3718521845908576e-06,19.464593913715706
