k,threshold_mag,f_detectable,n_pos,n_neg,asymmetry,asym_err,excess_UL_95,p_UL,mean_f_UL
3,0.33625532917901096,0.2663348866794959,195,235,-40,20.73644135332772,37.10717829977809,0.0020978730382054554,0.0005587367778984197
4,0.44834043890534797,0.3382959017614747,75,71,4,12.083045973594572,29.030129653200646,0.0016412330197422347,0.0005552224044144075
5,0.5604255486316849,0.40319867242429086,15,18,-3,5.744562646538029,12.445537827109046,0.000703614757299245,0.0002836965360411952
6,0.6725106583580219,0.46173550149641185,5,5,0,3.1622776601683795,8.197679024530974,0.0004634599177143246,0.00021399589752930945
