test,mean_a,err_a,n_a,mean_b,err_b,n_b,difference,difference_err,n_sigma
galactic hemisphere (N vs S),0.015214005122473976,0.0013193297062896027,19457,0.006371916586227518,0.0010752796867923712,28470,0.008842088536246458,0.0017020156517278298,5.195068874525486
extinction quartile (low vs high A_0),-0.017059442386830413,0.0014583162760400763,11982,0.04108015921120566,0.0017889436750958402,11982,-0.05813960159803608,0.002308030726318176,-25.19013327469072
apparent G (bright vs faint),-0.005474113098194615,0.0011945320996867936,23964,0.025397863755081133,0.0011551098936376117,23963,-0.030871976853275748,0.0016616816191923273,-18.578755699471056
distance (near vs far),0.0003619358731798637,0.001080718257682456,23964,0.01956157123953559,0.0012670639810214424,23963,-0.019199635366355727,0.0016653537415486565,-11.528863140212769
crowding (sparse vs crowded),0.0037090873502678015,0.001178240192655847,23999,0.016232571696706645,0.0011787925206874729,23928,-0.012523484346438844,0.0016666738608433307,-7.514058173386129
metallicity (metal-poor vs metal-rich),0.005958484906536212,0.0012659211136503967,23970,0.013966793825111679,0.0010848737240573322,23957,-0.008008308918575466,0.001667185431539001,-4.80349022195023
galactic latitude (|b|<20 vs |b|>=20),0.015170664289817004,0.0009717658076381515,35725,-0.005289675370909594,0.0016142998359803774,12202,0.0204603396607266,0.0018842220530874015,10.858773055543644
colour (blue vs red half),-0.022006172805708886,0.0011525068545886722,23964,0.04193061336201149,0.0011694049840393589,23963,-0.06393678616772037,0.001641883085536229,-38.94113212503131
