sample,k,thr_mag,f_det,obs,n_pos,n_neg,pred_34_in_sigma_dr,pred_in_sigma_r,k_of_T_in_sigma_r,obs_over_pred_34,obs_over_pred_sigma_r,pred_permutation,pred_permutation_sd,obs_over_pred_permutation,p_UL_as_published,published_used_background_branch,p_UL_poisson_only,p_UL_poisson_only_eff_corrected,efficiency_at_f_det,p_UL_efficiency_corrected,f_at_eff_90,f_at_eff_99,best_mean_f_UL_corrected,f_of_best_mean_f,p_UL_at_best_mean_f,n_pairs
all clean,4,0.4382745260924383,0.33213268550302455,206,90,116,421.99999999999994,370.0,3.865423924053206,0.48815165876777256,0.5567567567567567,576.525,15.67926576724816,0.35731321278348727,0.0016875545211808617,True,0.009465369864532372,0.01891834847412836,0.5003274930407728,0.01891834847412836,0.42999999999999977,0.5449999999999998,0.0044944889675260155,0.4199999999999998,0.01070116420839528,12214
all clean,5,0.5478431576155478,0.3962422243710393,56,25,31,193.0,157.0,4.831779905066507,0.29015544041450775,0.35668789808917195,267.235,12.145771898072185,0.2095533893389713,0.0010626192141643966,True,0.0028639424819562743,0.005725072581769875,0.5002456197805797,0.005725072581769875,0.48499999999999976,0.5899999999999997,0.001535524730352593,0.48999999999999977,0.003133723939495089,12214
all clean,6,0.6574117891386574,0.4541977968977532,19,8,11,86.0,79.0,5.798135886079809,0.22093023255813954,0.24050632911392406,128.17,7.3906089059021385,0.14824061792931265,0.0006900374164894196,True,0.0011412821204946583,0.002281816961814005,0.5001637465203864,0.002281816961814005,0.5349999999999998,0.6299999999999998,0.0006729343905175919,0.5449999999999998,0.0012347420009497104,12214
all clean,7,0.766980420661767,0.5065901311151961,10,4,6,51.0,43.0,6.764491867093111,0.19607843137254902,0.23255813953488372,65.25,5.580098565437711,0.1532567049808429,0.000525948121699134,True,0.0006943760944703579,0.0013882975311607386,0.5001637465203864,0.0013882975311607386,0.5799999999999997,0.6649999999999997,0.0004423687994110383,0.5899999999999997,0.0007497776261204042,12214
clean + bare,4,0.4382745260924383,0.33213268550302455,125,56,69,311.71475356148676,273.30440478139843,3.865423924053206,0.4010076474463161,0.4573654789793118,425.8562755853938,13.475601982863576,0.2935262603050091,0.001905162461811416,True,0.008036701144127502,0.016069839920726577,0.5001108401684771,0.01606983992072658,0.42999999999999977,0.5399999999999998,0.003791826309457972,0.4099999999999998,0.009248356852336522,9022
clean + bare,5,0.5478431576155478,0.3962422243710393,26,10,16,142.56148681840511,115.9697068937285,4.831779905066507,0.182377446954652,0.22419647937737477,197.39595300474866,10.438727827100028,0.1317149597255144,0.001183619906200018,True,0.0019993686590285714,0.003998294146460329,0.5000554200842385,0.003998294146460329,0.48499999999999976,0.5849999999999997,0.0010651685924873856,0.48999999999999977,0.00217381345405589,9022
clean + bare,6,0.6574117891386574,0.4541977968977532,7,2,5,63.524807597838546,58.354183723595874,5.798135886079809,0.11019317121455048,0.11995712309432077,94.67412313738332,6.351885700858519,0.07393783821839231,0.0007286695745085411,False,0.0007286695745085411,0.0014571776352024955,0.5000554200842385,0.0014571776352024955,0.5349999999999998,0.6249999999999998,0.0004269895028454017,0.5399999999999998,0.0007907213015655591,9022
clean + bare,7,0.766980420661767,0.5065901311151961,3,1,2,37.67168822662518,31.762403798919273,6.764491867093111,0.0796354010458096,0.09445128961247184,48.19760111347634,4.795836004646281,0.062243761736954624,0.0004297082979346445,False,0.0004297082979346445,0.0008593213485462402,0.5000554200842385,0.0008593213485462402,0.5799999999999997,0.6599999999999997,0.00027238209892707985,0.5899999999999997,0.0004616645744526779,9022
