source_id,ra,dec,dist_pc,phot_g_mean_mag,bp_rp,M_G,M_Ks,residual,resid_nsigma,W1,W2,W1_W2,w12_nsigma,ruwe,astrometric_excess_noise,phot_variable_flag,non_single_star,teff_gspphot
5946986063671469824,263.8059466621306,-48.67780401885913,9.689668497169027,11.613846,2.8484068,11.682301229060652,5.897455400050643,2.395042426538982,13.55619021812988,5.557,5.266,0.2910003662109375,0.3099020994870104,1.2927895,0.29780784,NOT_AVAILABLE,0,3004.7278
4468557611977674496,271.36591160903725,2.4941987580927343,5.105783367734121,5.5392184,1.4856548,6.9989065044255785,3.2506880872579145,2.2736602985938053,12.869154699563289,-0.181,0.168,-0.3489999920129776,-2.606811594579321,3.7063498,1.0237515,NOT_AVAILABLE,0,
2974726136265625088,75.61776596344842,-21.257639202011276,8.415739882032177,9.636776,1.8890948,10.011314452346909,4.974538386520492,2.130110146643652,12.056645850402804,4.568,3.861,0.7069997787475586,2.2057622621849196,1.7590977,0.38159385,NOT_AVAILABLE,0,
6792436799477051904,310.4647312153549,-32.437514921328194,9.806576045454502,9.605488,3.1264439,9.647900821310408,4.986412765127548,1.7453799395449607,9.879032705725812,4.747,3.989,0.7580001354217529,2.4381893800801344,2.2641666,0.501943,NOT_AVAILABLE,0,3111.949
6792436799475128960,310.464334034236,-32.437036784381455,9.921411824522,9.575837,3.0309772,9.592969750364833,4.961132382353358,1.7359380215272502,9.825590463845765,4.747,3.989,0.7580001354217529,2.4381893800801344,2.331419,0.5093103,NOT_AVAILABLE,0,
4594497838483177984,266.60269364370964,27.71382058642485,8.30579169185475,9.58592,2.6111593,9.989015159547822,5.356094894350069,1.467628981876782,8.306933283312393,3.771,3.82,-0.04900002479553223,-1.2396029651484686,9.111433,2.0674648,NOT_AVAILABLE,0,
3902874650601954816,188.3146767758809,9.021829208339808,4.474723930280812,11.240162,3.497839,12.986330663139324,7.788168584281903,1.361300122845666,7.705100838621433,5.835,5.489,0.34600019454956055,0.5605562599498927,13.949631,3.2352505,NOT_AVAILABLE,0,
3902874650602495232,188.3144928018531,9.022091624851694,4.326784785759761,11.235116,3.5342093,13.054289535284212,7.861173347234897,1.3422799869740771,7.597444883556564,5.835,5.489,0.34600019454956055,0.5605562599498927,6.116347,3.3460634,NOT_AVAILABLE,0,
4535928365908541440,280.2932736323553,24.789034718675914,9.944778626587548,12.936422,3.5547886,12.94844674773453,7.78602456755875,1.3260063993527158,7.5053346783752,8.125,7.902,0.22300004959106445,0.0,1.1926155,0.3423651,NOT_AVAILABLE,0,2899.0293
527956488339113600,8.142840068147475,67.23327824206002,9.960496385467764,11.106811,2.6195107,11.11540565872011,6.385594943998432,1.2254420190987751,6.936129785474495,5.679,5.365,0.31400012969970703,0.4147203613300929,1.541342,0.3403778,NOT_AVAILABLE,0,
4594497834189213184,266.60286144324283,27.713737369131668,8.341183682546886,9.184961,2.6012816,9.578822894125421,5.346861643820246,1.0718521714881444,6.06679521055756,3.771,3.82,-0.04900002479553223,-1.2396029651484686,4.305318,2.024508,NOT_AVAILABLE,0,
2824770686019004032,352.9716753030632,19.937313746866927,6.253577810127021,10.828941,3.174079,11.848298555596571,7.281357294305068,0.861528333737418,4.876340327436296,4.861,4.489,0.37200021743774414,0.6790477917584906,1.5881655,0.39968103,NOT_AVAILABLE,0,
5559035514779971456,104.4373295461301,-44.29139605439596,8.027644038558448,10.418207,2.6348133,10.895266634701938,6.53305969881937,0.8288512554050396,4.691384652021983,5.977,5.601,0.37600040435791016,0.6972780940059016,1.6439328,0.57818884,NOT_AVAILABLE,0,3179.6157
5559035514776717312,104.43647190771412,-44.291651313997995,8.041371599494592,10.381962,2.63978,10.85531116378789,6.529349573974658,0.7933339311350753,4.490352888030056,5.977,5.601,0.37600040435791016,0.6972780940059016,2.8755577,0.4646768,NOT_AVAILABLE,0,3179.4866
6794047652729201024,311.2911826481039,-31.3425000799281,9.714095582245003,7.8434396,2.1113243,7.9064277169272765,4.591987943367706,0.7562617067001165,4.280520226745747,4.449,4.008,0.44099998474121094,0.9935047504075672,0.92735684,0.09781371,NOT_AVAILABLE,0,
4468557611984384512,271.364453818457,2.495224095912567,5.113327846832172,3.987364,1.0036926,5.4438458592060375,3.2474818140629105,0.7212473054410484,4.082335059509367,-0.181,0.168,-0.3489999920129776,-2.606811594579321,3.2666097,1.1491657,NOT_AVAILABLE,0,5204.636
2886233695250041216,91.21742524933883,-34.558412822381825,8.665649085315847,11.112143,3.4003267,11.423137071174928,7.176994683784792,0.5685641956062426,3.2181327150827324,6.669,6.393,0.2760000228881836,0.24154009589909137,1.1759074,0.33052412,NOT_AVAILABLE,0,
4535928365908540416,280.2931336884971,24.787728362716255,9.931965611764257,10.725493,3.098195,10.740317395127567,6.630824139512333,0.556791735626609,3.151499362349247,6.504,6.283,0.22100019454956055,-0.00911406456379085,1.1585051,0.23853457,NOT_AVAILABLE,2,
823773494718931968,152.8329289582321,49.451988897100506,4.870569914298463,5.9611735,1.7223029,7.523274625493055,4.524100984288221,0.5105831017549285,2.8899536696536754,2.232,2.063,0.16900014877319336,-0.24609712818098678,0.94332755,0.137554,NOT_AVAILABLE,0,3978.864
2976507997939000064,77.14837445280509,-18.178273078582706,9.231444420010712,9.05489,2.7088056,9.22854138262218,5.487651833366809,0.5072194267398977,2.87091491784266,5.2,4.869,0.33099985122680664,0.49219425636197356,4.355474,0.8271038,NOT_AVAILABLE,0,
946632924007399936,107.50514340448903,38.52526941964586,6.052730195481905,9.934659,3.105956,11.024902427334053,6.936243617672188,0.47057760437888696,2.6635183772383293,5.667,5.339,0.3279995918273926,0.47852098639645807,1.1360852,0.4729503,NOT_AVAILABLE,0,
3136952686035250688,116.1658359308822,3.5504844454883244,5.988852474811047,9.692206,2.997038,10.805488307199028,6.811281878671196,0.40408168481950213,2.2871445292062837,5.566,5.197,0.3689999580383301,0.6653745217929751,1.3503697,0.27955645,NOT_AVAILABLE,0,3098.9648
2400808142038361088,339.6920274130413,-20.62148673061316,8.897911483722368,8.170376,2.2653556,8.423935418578981,5.053559785339235,0.40255333768692125,2.2784939248499594,4.636,4.032,0.6040000915527344,1.7363553403522523,2.9361658,0.5057055,NOT_AVAILABLE,3,3307.948
522864272041351296,15.839644585280979,62.36589259248621,9.864622012893701,11.927245,3.305438,11.95684289581406,7.747597690888523,0.38112766917573637,2.157222403865698,7.381,7.318,0.06300020217895508,-0.7291773199791696,1.0717231,0.4452735,VARIABLE,0,
470826482637310080,67.80919062832808,58.967979971547436,5.517428925853836,9.702565,2.8958826,10.993881456194753,7.008316270647878,0.3504515251988032,1.983592225835415,5.505,5.252,0.25300025939941406,0.1367218340560089,1.2182512,0.41426003,NOT_AVAILABLE,0,
5955305209191546112,264.26088738973226,-44.323382243038424,5.007651659668271,9.602153,2.9048986,11.103982269262087,7.107829391454469,0.33640875213761845,1.9041086640003353,5.373,5.117,0.2560000419616699,0.15039293090169517,1.0140452,0.21203886,NOT_AVAILABLE,0,3155.8037
6324325225803432320,218.56843175696892,-12.516923853592898,6.25302694251758,9.894982,2.9232502,10.914530838270128,6.958548630018174,0.332702787528941,1.8831325173483164,5.867,5.498,0.3689999580383301,0.6653745217929751,1.4434574,0.2759901,NOT_AVAILABLE,0,3000.055
5203276810942065536,139.28558758927346,-77.82674697465572,9.52076344678469,11.5566025,3.1512985,11.663243604050383,7.554641080246671,0.3284734958295239,1.8591942847182972,7.145,7.017,0.12799978256225586,-0.43295066357750384,1.4497317,0.3066719,NOT_AVAILABLE,0,
1355264565043431040,257.3834721191679,43.680105808986085,7.598806769672046,10.453175,2.8772593,11.04944758626057,7.08127312871052,0.31512659579003355,1.783649436847206,6.32,6.072,0.2480001449584961,0.11393449952670255,23.181572,4.8340755,NOT_AVAILABLE,0,
2603090003484152064,343.3241110018443,-14.266689393516607,4.672067819639273,8.875059,2.8092842,10.527513436008798,6.662454537083017,0.3059942991283524,1.7319596841721183,4.863,4.448,0.41499996185302734,0.8750132185989693,1.3398496,0.24331754,NOT_AVAILABLE,1,3185.4407
5700706729031126656,123.17043503163158,-21.55502398567159,8.116666068191877,10.67168,2.9472322,11.124792056395982,7.158111529662585,0.29402529362450736,1.6642138632488388,6.492,6.268,0.2239999771118164,0.004557032281895425,1.1012337,0.20594552,NOT_AVAILABLE,0,
3211461469444773376,75.2066176720424,-5.758598962923454,8.843964761225756,5.886492,1.2494874,6.153256758193071,3.9727650723257613,0.2849225565081115,1.612691420686594,3.743,3.418,0.3250000476837158,0.46485097611068643,0.9748489,0.14901909,NOT_AVAILABLE,0,4626.91
2974726131970829952,75.6178310374648,-21.257878326934936,8.363039970757724,7.7924075,1.9057045,8.180586650265397,4.98817904223317,0.27490258168815274,1.555977316946678,4.568,3.861,0.7069997787475586,2.2057622621849196,1.8184237,0.34862205,NOT_AVAILABLE,0,
6847167606385195648,303.82866493156223,-27.033780809464673,8.811567976359871,5.48135,1.0801368,5.756083965499518,3.7757339479519105,0.27411267488897284,1.5515063619833662,3.684,3.205,0.4790000915527344,1.1666850158385689,0.96346945,0.3169224,NOT_AVAILABLE,0,4978.235
2627117287488522240,332.4231515660494,-4.64083481515791,8.814865836983147,9.237196,2.5417328,9.511117435196716,5.867921329239685,0.2622452591884894,1.4843355499548485,5.57,5.183,0.38700008392333984,0.7474076222265804,1.353798,0.2147821,NOT_AVAILABLE,0,3229.764
4911306239828325760,24.950656623757837,-56.19640006625107,8.196488023769628,5.6254873,1.0941982,6.057348284322548,3.941860947210121,0.2514736739811001,1.4233672529409307,2.549,3.33,-0.7809998989105225,-4.575591811796964,1.2156,0.282785,NOT_AVAILABLE,0,4902.265
3864615459886222464,162.7129640681676,6.804489538122279,6.966744708517551,10.290781,2.8693,11.075631539073628,7.155850331035298,0.24771285380945507,1.4020806180746443,6.276,5.959,0.3169999122619629,0.42839145817577917,1.0026705,0.19234556,NOT_AVAILABLE,0,3000.7288
