source_id,ra,dec,residual,ratio,implied_f,cstar_nsigma,ruwe,A_0
4315107948196807552,293.3463101834482,11.527916670684387,2.573861549644557,-0.10780622479495909,0.9070359893901692,-0.01144183059835584,0.84770525,0.19917277516932166
2103541189059079936,282.9925295681991,40.1491779896463,2.1219564372142674,0.33904754391444397,0.8590461649607866,-0.07843065731631955,0.9762002,0.061880371837171676
2204651625523751936,333.99304780715516,61.88372523825566,2.02228612611849,-0.27787309092439627,0.845494116778659,-0.25255543272203573,0.999458,0.5625536281312623
2880515371496244352,0.21965149841089582,37.77565323136439,1.853673894335314,0.39836990541524314,0.8195362765828957,-0.4061251915987247,1.0393267,0.12814927057670417
5220744442934732672,130.8883635518174,-71.53994469939173,1.823456624134141,-0.2686913168481067,0.8144432224518039,-0.07705117008925234,1.011005,0.18350690614531345
1827478833254941440,297.4730562996742,21.500241951059266,1.3415901914856585,0.26637978738198925,0.710783281093331,-0.13834116703517133,1.0409659,0.06357480888989732
1651145102581677696,264.6363084238681,71.33095657366849,1.2779126713911948,-0.23605257354547546,0.6933136810342865,-0.10180942326195953,1.0008538,0.033805483903255176
5882010424086968704,232.4504189139022,-59.20799070316154,1.1476516243780654,-0.29115319789837846,0.6542208346258063,-0.08876150939408303,0.8832542,0.3974921097272672
1148792533503281280,108.91296294885484,82.70180645586301,1.0660797103438036,0.06508876958861202,0.6272414726551363,-0.044691630007182154,1.0725424,0.07926001645342783
5684425573155243008,147.42995405596326,-17.096314791510068,1.0434823280791043,0.375042291774601,0.619401966332139,-0.6008226711903126,0.9815623,0.06945519594273125
4273769643827911552,277.8381484625005,1.6543180703384344,0.9597297424854467,0.11015576684707604,0.5888809752581146,-0.0424360825057056,1.0554757,0.6502113662682678
6072230191931038592,183.1201667781419,-57.21308835655303,0.9595009363234839,0.3809991827612786,0.5887943276192521,-0.5555676888277878,0.9823097,0.19384510737237007
4107491836100848256,259.7931137628608,-28.43123456325478,0.9581421664592833,-0.0025152208367133166,0.5882793925555383,-0.6462787113258094,1.0173255,0.601271298942223
5289561776205970944,119.95382996065123,-62.71433074390468,0.9431148666765421,0.1144284990676988,0.5825412919076909,-0.21434181248384895,1.0539416,0.28122060668496696
4418369132413613184,227.29639784522618,-1.2025741827259957,0.9117202681628553,0.09396001286253308,0.5702940530564711,-0.03064689461748399,1.1756128,0.16377807623849694
