test,mean_difference,std_difference,err_of_mean,n,rms
paired: edenhofer23/fitz19 - edenhofer23/wangchen19,0.000156718708826818,0.022231500025106963,0.00010154969989075626,47927,0.022231820478280213
paired: edenhofer23/fitz19 - GSP-Phot per-star A_G,0.008165583915331832,0.11171063020982104,0.0005102751033265015,47927,0.11200750547116309
