source_id,ra,dec,residual,alpha,alpha_upper_2sig,deficit_G_mag,dchi2,chi2_fit,cstar_nsigma,ruwe,A_0,l,b,A_0_d,sfr
309641788850320640,18.087001142053538,28.908883576194636,0.039955257282310086,-0.55,0.35,0.22100195,29.886978,3.6964912,-0.31134153457161823,1.0290495,0.13543906102868541,128.43571261182643,-33.739308482987504,0.13543906102868541,
303915360494320896,25.62982434877372,32.20335479610578,0.27617023388105366,-0.1,1.05,0.27096164,25.421196,3.4115448,0.5382335312302792,0.9677394,0.10554842817638943,135.33349659268666,-29.43530021928874,0.10554842817638943,
323951898326756608,23.441413878559054,40.495918213241396,0.2917055511940765,0.15,1.25,0.3453979,31.487225,4.510029,0.5492619586146965,1.0581254,0.10535127889433318,131.57420247658595,-21.664458744794125,0.10535127889433318,
332690507508030080,32.052959044061055,39.779772933305594,0.2611349737614965,0.1,1.15,0.3490887,33.86113,5.6782837,0.4665962759454992,1.0919927,0.1316576402601533,138.60621632437915,-20.74376875239668,0.1316576402601533,
368188068610363008,9.628169590653396,37.43929516677418,0.32286057420888525,0.1,1.0,0.38027698,40.181854,5.2071075,0.7488837160718298,1.0311984,0.13779008583835597,120.09297499064809,-25.36119697267321,0.13779008583835597,
364182856988027776,12.128075099324354,36.473274350741676,0.1324569927081516,0.3,1.3,0.36322725,30.109806,1.5909996,0.2632675278925654,1.0363828,0.10957716071507916,122.27532725283938,-26.394745820266046,0.10957716071507916,
363593896712889856,15.883878361301402,36.71995137823294,0.3246080178322668,-0.05,0.8,0.3544578,41.08779,5.625984,0.8752377338009089,1.0353462,0.07075484858117086,125.63093473544517,-26.088392117524386,0.07075484858117086,
373963322154970752,14.53940741126795,39.886828110351075,0.16205134759661988,0.65,1.4,0.5335018,48.75736,3.3843498,0.35326624382755695,0.9911857,0.11009769338453365,124.33186363355907,-22.966655619375395,0.11009769338453365,
575588908303026432,31.76620635077425,87.31715136654023,0.1014240780862039,0.3,1.35,0.38409373,33.66864,4.327919,-0.029178405144345318,1.0248134,0.024104846296610284,123.88761385282787,24.586937624111314,0.024104846296610284,
558046101498135424,83.48645357563649,82.40040465494216,0.41337517838735494,0.45,1.4,0.52063596,54.217728,10.560364,0.9890683357984328,1.022986,0.023623045256259592,130.80538843627784,24.38936641817657,0.023623045256259592,
592050487157690496,137.23083411670035,10.95939901949537,-0.029781296313412753,-0.65,0.35,0.20295185,28.938562,1.3035564,0.5582027967713701,1.0291214,0.03754049708068828,218.81746385498582,35.44855558674884,0.03754049708068828,
601606656246326144,128.13890803014237,10.822030365856468,0.2099285375746236,-0.35,0.75,0.24283767,27.695667,3.9006653,1.4311378975332703,1.0026038,0.03508016509747221,214.48972884606607,27.316814706825983,0.03508016509747221,
578167714041378944,134.81976100531782,2.5981175703820774,0.41571661002585714,-0.75,-0.05,0.2709045,59.401043,10.376438,0.3764041689232622,1.0407486,0.0562044186902134,226.25908487012504,29.425014352512562,0.0562044186902134,
593286686118043008,141.62926396546888,12.550477907646389,0.2445300239305741,-0.15,0.9,0.28946808,30.758232,4.7709274,0.35681510804318134,1.0042061,0.052520384674080184,219.3284015463768,40.02130177650437,0.052520384674080184,
581724943394911232,134.53836836695004,4.811922298149423,0.24446868782917264,-0.1,1.05,0.27628225,26.429335,6.3300533,0.26320979137777417,1.0079937,0.05957359460047459,223.8750869715786,30.264158544713478,0.05957359460047459,
605848400307141248,137.82791569343445,12.92002618870987,0.006073558846418692,-0.9,-0.1,0.19485107,38.208607,6.6086693,1.7047461326134676,1.0225614,0.018653172642004057,216.9229486247418,36.80652382277282,0.018653172642004057,
583974127573313408,137.2346971850284,7.113379630737264,0.06458977399602084,0.3,1.25,0.381684,33.24751,2.009285,0.6565030972635874,1.1252044,0.053428516586984734,222.98948983720004,33.717221465667116,0.053428516586984734,
607620190280211072,138.70979926835633,15.71969003679684,0.22409763667681926,-0.05,0.75,0.3628976,43.06773,3.950863,0.23578564354850026,0.9756596,0.03975348410800033,214.10244836895822,38.70306063459193,0.03975348410800033,
629512845473991040,150.60613701633025,21.856754124065453,0.26672419196221053,0.1,1.25,0.34259436,32.612972,6.3661995,0.349556657155492,0.93140835,0.054760178451719134,211.27222191067696,51.366427994673415,0.054760178451719134,
653787244719635712,123.41875686608795,14.49562242231027,0.3051128039211193,-0.35,0.95,0.231782,25.231272,8.088236,0.22057172902226604,0.9919063,0.04581185899708999,208.65857921804312,24.628242599241048,0.04581185899708999,
658297372695252864,131.74928212416796,17.18565365614927,0.1517497693433798,0.45,1.25,0.4621828,42.72682,2.2489586,0.820921954629905,1.0189297,0.043843036732212994,209.3403732813059,33.059415003679504,0.043843036732212994,
