HIP,Gaia,RA_ICRS,DE_ICRS,RV,e_RV,plx,e_plx,pmRA,pmDE,e_pmRA,e_pmDE,pmRApmDEcor,pmRAhg,pmDEhg,e_pmRAhg,e_pmDEhg,pmRApmDEhg,pmRAhip,pmDEhip,e_pmRAhip,e_pmDEhip,pmRApmDEhip,EpochRAgaia,EpochDEgaia,EpochRAhip,EpochDEhip,dpmRA,dpmDE,chi2,source_id,local_resultant,dv_kms
46975,5661965368098963584,143.61541289866,-24.53652446694,,,5.1501,0.0321,-22.673,4.044,0.047,0.025,0.5447,-24.008,5.64,0.021,0.017,-0.0739,-22.402,5.007,0.626,0.524,-0.0755,2016.2,2016.6,1991.1,1991.5,0.0,0.0,5423.0,5661965368098963584,0.36353122948766087,1.9149630266691784
60731,1547736137071056384,186.70708470317,51.205786894,22.481,0.137,3.354,0.1227,-77.981,0.596,0.114,0.142,0.3067,-76.762,0.324,0.018,0.017,0.3161,-76.037,-0.209,0.609,0.517,0.2733,2015.9,2015.9,1991.3,1991.3,1e-04,-0.0005,141.9,1547736137071056384,0.3631247531237851,1.7734545081567803
108136,1897350117097544960,328.62552091297,30.2290402929,5.107,0.151,2.3985,0.0224,-2.937,-6.842,0.029,0.031,-0.1556,-3.524,-6.631,0.02,0.026,0.0855,-4.389,-8.013,0.815,0.961,0.1107,2015.9,2016.0,1990.8,1991.0,0.0,0.0,293.7,1897350117097544960,0.36296057441116936,1.2355491500074443
63261,3508521989118519424,194.44727947241,-20.86818111366,28.834,5.767,4.6748,0.0611,-6.369,-6.348,0.097,0.087,-0.2463,-6.965,-7.956,0.032,0.023,-0.1987,-8.114,-11.031,1.12,0.515,-0.1141,2016.1,2015.6,1991.0,1991.6,0.0,0.0,428.2,3508521989118519424,0.3628734577517,1.7369748402213496
49003,826991765253097600,149.95895094775,49.97953364373,37.983,0.13,3.0121,0.0201,-13.921,-8.206,0.024,0.023,-0.1103,-14.092,-8.212,0.024,0.021,-0.2435,-15.324,-7.223,0.795,0.621,-0.2502,2016.1,2016.3,1991.3,1991.0,0.0,0.0,26.33,826991765253097600,0.36221786535268785,0.25943273632339
11370,517211236078963456,36.61393186576,66.54898470218,-54.871,0.146,3.527,0.021,-19.191,10.036,0.02,0.026,-0.3812,-19.175,9.538,0.02,0.026,-0.2685,-19.809,6.936,0.576,0.72,-0.328,2016.3,2016.2,1991.3,1991.1,-1e-04,0.0,203.9,517211236078963456,0.3619896824061502,0.6637317090410205
81093,6051225091725760896,248.45726875578,-22.82619476753,25.17,0.571,13.0144,0.2386,12.809,-4.591,0.384,0.241,0.0284,17.814,3.4,0.051,0.031,-0.159,28.311,12.573,1.77,1.087,-0.0779,2016.1,2016.0,1991.1,1990.9,-1e-04,0.0,1230.0,6051225091725760896,0.3619589985345971,3.433946922103598
6669,290302925506001280,21.39881842263,23.51141313965,-19.182,6.374,13.8537,0.0398,33.486,-22.608,0.047,0.034,0.2042,33.1,-22.812,0.022,0.014,0.0935,32.328,-22.156,0.765,0.439,-0.1075,2016.2,2016.5,1991.1,1990.8,0.0002,-0.0002,74.39,290302925506001280,0.3617755264343696,0.14887463616021604
64671,1564584606577087232,198.83578244957,55.31248339053,-29.616,0.706,7.2134,0.0131,48.427,-95.406,0.02,0.021,0.1349,48.238,-95.454,0.035,0.036,0.1145,47.126,-94.823,1.079,1.103,-0.0266,2016.0,2016.0,1991.1,1991.0,-1e-04,-0.0007,22.38,1564584606577087232,0.36125579706733724,0.12586258043271503
111383,2716901203694102144,338.48837721603,9.20058525179,8.733,1.712,4.1673,0.0466,24.412,-3.94,0.069,0.071,0.2492,22.634,-4.083,0.034,0.025,0.1674,24.533,-2.839,1.144,0.846,0.0628,2016.0,2016.0,1991.3,1991.6,0.0,0.0,542.4,2716901203694102144,0.36109065028595966,2.029799276112113
67032,1558882298758124288,206.05602287562,50.27556023916,-25.209,4.903,7.6848,0.0458,-73.655,9.026,0.061,0.063,0.1346,-73.933,8.983,0.031,0.034,0.2302,-72.668,9.151,1.095,1.098,0.1406,2016.0,2015.8,1991.2,1991.2,-0.0004,-0.0003,16.62,1558882298758124288,0.36084050799574807,0.17155785615598437
63664,1558221904586108928,195.719273366,53.92750134613,2.899,0.166,7.488,0.0177,41.401,-102.549,0.021,0.028,0.2256,43.455,-102.651,0.027,0.029,0.1962,46.402,-102.514,0.928,0.857,0.1629,2016.0,2016.0,1991.3,1991.1,-0.0004,-1e-04,3854.0,1558221904586108928,0.36081798717542257,1.3048237045362794
76846,5881894459959606656,235.36483792431,-58.76361206245,11.614,0.162,3.0726,0.0589,-10.3,1.52,0.086,0.082,-0.1014,-10.495,1.239,0.105,0.065,-0.0578,-10.675,3.752,1.943,2.425,-0.5686,2016.1,2015.9,1991.0,1990.8,0.0,0.0,9.894,5881894459959606656,0.36078040543028145,0.5289821296975049
100779,1816667301021133440,306.50501532418,19.86557201575,-31.198,0.127,5.7856,0.0205,30.495,17.433,0.024,0.026,0.2533,30.963,17.823,0.017,0.015,0.0062,30.978,18.756,0.559,0.477,0.1497,2016.4,2016.3,1991.2,1991.1,0.0002,1e-04,352.2,1816667301021133440,0.3605652278999973,0.49711556399960627
86692,1349043974930861952,265.70284529527,43.16901863733,-21.0,10.7,7.1563,0.034,10.83,7.386,0.059,0.054,0.1804,12.191,3.966,0.041,0.051,0.097,11.954,-0.939,1.032,1.438,0.111,2015.8,2016.1,1991.2,1991.3,0.0,0.0,2768.0,1349043974930861952,0.36039558318456866,2.440728543022684
40814,904221908664746624,124.9482688512,35.2013188204,-12.854,0.125,6.1505,0.0218,8.366,-2.459,0.028,0.021,-0.2086,7.963,-1.984,0.026,0.015,-0.1617,6.488,-3.02,0.88,0.566,-0.1908,2016.2,2016.1,1991.5,1991.2,0.0,0.0,393.9,904221908664746624,0.36035978342722375,0.4789311706940767
55423,3813847503339335936,170.24575042636,4.8804067033,7.527,0.73,10.8844,0.0384,-49.776,-23.997,0.039,0.044,-0.2741,-49.212,-25.391,0.026,0.023,-0.4363,-48.462,-26.548,0.73,0.616,-0.1408,2015.9,2015.5,1991.4,1991.5,1e-04,0.0,808.8,3813847503339335936,0.36022037758570036,0.6551966204831674
