source_id,m1,m1_lower,m1_upper,m2,m2_lower,m2_upper,fluxratio,combination_method,ra,dec,l,b,parallax,parallax_over_error,ruwe,phot_g_mean_mag,bp_rp,nu_eff_used_in_astrometry,pseudocolour,ecl_lat,astrometric_params_solved,tmass_ks_m,tmass_ks_msigcom,tmass_j_m,tmass_ph_qual,angDist,W1mag,W2mag,W3mag,W4mag,e_W1mag,e_W2mag,e_W3mag,e_W4mag,f_bol,M_bol,dist_pc,log_cover,bol_deficit_mag
6158160019228728448,1.2769289,0.6218767,2.1765435,1.2710633,0.61561894,2.1406121,0.76592517,Orbital+SB2,188.88856248434888,-34.88251245600686,299.247287609016,27.875574499079352,46.27779090989251,1241.8217,1.5534385,7.5019746,1.262929,,1.4601716,-28.312813989924386,95,5.262,0.016,5.952,AAA,1.725329,5.276,5.167,5.287,5.231,0.178,0.063,0.015,0.029,2.0402957628718242e-08,17.55263027856582,21.608637325560768,3.56833377762671,2.0682464457543226
4173093583204623232,1.1393747,1.0106734,1.1983212,,0.2557752,1.4313686,,Orbital+M1,272.6798428589339,-5.328967723198483,23.49447861400296,6.561125095765707,2.0998318313172537,56.788654,1.5877392,14.820987,1.6708031,1.3931714,,18.084204469505313,31,11.986,0.033,12.709,AAA,0.093389,11.834,11.852,11.579,8.738,0.025,0.025,,,3.698817163438757e-11,17.690765413998328,476.22861273261395,3.56833377762671,1.7105690802592282
692995928147102592,0.9781386,0.9146552,1.0376174,,0.56713146,0.879164,,Orbital+M1,134.9312526914857,27.388258607405604,198.44285027382753,39.00272924267372,6.6329597010653645,25.786945,12.55972,12.137378,0.84608936,1.5477387,,9.905034816963742,31,10.737,0.021,11.081,AAA,0.305501,10.66,10.72,10.674,9.061,0.023,0.021,0.087,0.506,1.9624770028789045e-10,18.376525353114616,150.76226075056408,3.56833377762671,1.6496312016492851
4165827598038687872,1.3955469,1.2684007,1.451782,,0.41122323,1.4674983,,Orbital+M1,267.20384019198474,-7.307281126851051,19.094696948469885,10.382592056544386,3.3434899045399638,102.47358,1.85072,12.365913,1.1991987,1.4772872,,16.103984473848655,31,10.45,0.023,10.833,AAA,0.183795,10.26,10.256,10.319,8.93,0.023,0.02,0.09,,2.1663776427895355e-10,16.78166466838748,299.0886853410708,3.56833377762671,1.6293027676526943
4165714996871257856,0.83583355,0.7608013,0.8912943,,0.41829294,0.88863665,,Orbital+M1,267.0301920573624,-7.95745122946634,18.433319010470374,10.2125912452375,2.6381333102417455,36.716232,1.8293142,15.781573,1.750885,1.3801718,,15.450376875859492,31,12.876,0.032,13.576,AAA,0.27047,12.701,12.805,12.024,8.849,0.024,0.029,,,1.6383728314238676e-11,19.070451843744955,379.05590142765186,3.56833377762671,1.5252111625590565
4154058661793603840,1.3163702,1.2124861,1.3741547,,0.48919222,1.333257,,Orbital+M1,276.1362406266888,-11.365559210759875,19.76773751916285,0.704238530957905,2.566101143662381,51.291546,2.879859,13.106477,1.1582613,1.4866306,,11.942837593544043,31,11.101,0.034,11.543,AAA,1.088285,10.524,10.587,9.07,6.94,0.028,0.025,0.096,0.139,1.1787091556947375e-10,16.867852208748197,389.6962528034978,3.56833377762671,1.5032909154968142
4370126994597759744,1.1800419,1.1006416,1.2369891,,0.59733593,1.0168442,,Orbital+M1,262.73463358802366,-1.7068614522206105,21.879163484936385,17.00754709650387,3.5550667026425122,44.29108,4.127401,12.611366,1.021121,1.5132499,,21.5356536896156,31,10.884,0.019,11.279,AAA,0.074847,10.841,10.852,10.69,8.97,0.023,0.021,0.099,,1.5092203082138759e-10,17.307357167200273,281.28867434658576,3.56833377762671,1.4867404889491578
3389767036738482432,0.8620082,0.8081162,0.9180137,1.1997702,1.135621,1.273592,,Orbital+M1,83.3155333478268,14.706338926120761,190.65122749100254,-9.916661819444384,3.216528738728186,26.761522,4.413084,14.723441,1.3403978,1.4460636,,-8.581363768929549,31,12.404,0.023,12.987,AAA,0.099534,12.293,12.329,12.314,8.916,0.023,0.026,0.503,,2.951891989799742e-11,18.861686023886296,310.89415989343826,3.56833377762671,1.4784697022590976
6885920546540128384,1.1942523,0.7397857,1.2439016,,0.5927254,1.2348024,,Orbital+M1,317.88318379284414,-12.68197411749818,37.22136390114292,-36.757036873581875,2.9221311263435377,34.964256,5.371821,12.620168,0.60165024,1.6109176,,3.3729631700446685,31,11.529,0.019,11.811,AAA,0.273336,11.498,11.5,11.71,9.059,0.023,0.022,0.235,,1.0885430100433268e-10,17.236384518381236,342.2159912622744,3.56833377762671,1.4689119265175368
3600667110841216640,1.024331,0.92820895,1.0775632,,0.50498456,1.1043379,,Orbital+M1,180.47430443523132,-4.290616584574514,280.2082971918102,56.379714626515884,2.2148042181515812,34.9089,2.195021,14.026799,0.7637682,1.5692445,,-3.7474144381727905,31,12.734,0.03,13.068,AAA,0.107481,12.657,12.687,11.945,8.351,0.024,0.026,,,3.2771840752491376e-11,17.937924620242086,451.5071769343903,3.56833377762671,1.4440819108314074
