source_id,ra,dec,l,b,dist_pc,phot_g_mean_mag,M_G,M_Ks,A_0,wise_w3mpro,wise_w4mpro,wise_w3mpro_error,wise_w4mpro_error,resid_optical,resid_optical_nsigma,resid_w3,resid_w4,resid_w3_nsigma,resid_w4_nsigma,w3w4_colour,w3w4_excess,implied_f_optical,allwise_designation,tmass_designation
3339798493864184832,83.284319949072,10.86770504747947,193.9747548565986,-11.938662811118425,420.8289703437902,17.163126,8.889578802276423,4.8521800647608355,0.23845954811276923,9.999,7.619,0.055,0.225,1.2601630407818147,12.766468177172525,-2.732957149008662,-1.2677409826941402,-12.118768476516147,-1.2766156133616404,2.379523080903776,-0.4243964841793959,0.688258762457211,J053308.24+105203.8,05330822+1052035
1908371960955474048,338.9193124578034,39.6971380478149,96.37604605444189,-16.072989538168667,487.3631304689928,17.537964,8.95708756471038,4.880025248038088,0.21920849191246658,12.112,9.111,0.276,,1.2088592942643643,12.248917632623733,-0.9612505946295702,-0.11027923010454721,-4.262479347125803,-0.11105122331990756,3.000561583016175,0.1966420179330033,0.6731746358595887,J223540.63+394149.7,22354063+3941497
3333455441347700096,85.93849828979747,7.050326435284948,198.6924409124715,-11.601685201702571,423.3415546819385,17.423428,9.012824865770567,4.7671532433567885,0.43403544630036356,11.699,8.953,0.274,,1.1852264587018126,12.010510347680706,-0.978940848882246,0.09727155384375408,-4.3409233489487535,0.09795248877178855,2.7451319291073997,-0.05878763597577219,0.6659827562722507,J054345.24+070301.1,05434524+0703011
1998669288970546176,355.22497901865404,57.39125257650399,113.5106263169294,-4.1845410087178,392.02901619692085,17.075457,8.691103337587844,4.733293162671258,0.6455398816861043,11.257,8.936,0.192,0.461,1.17758336885381,11.933407103154039,-1.2293678982241847,0.2617515680719489,-5.451393534086084,0.26358392067787395,2.319708920236627,-0.4842106448465451,0.6636231309527791,J234053.99+572328.3,23405396+5723286
5547197481103643520,125.30852744101323,-32.256018054740586,251.4560881858003,2.524321637070956,315.2134380233451,16.379133,8.840217018081432,4.679472724293848,0.07100536610101851,9.347,7.422,0.034,0.108,1.1668033247663265,11.824658365167831,-2.61278679682904,-0.7450626995264686,-11.585896354340903,-0.7502783992417026,1.9248579892677986,-0.9328995735348822,0.660266681326818,J082114.04-321521.6,08211404-3215218
1931226620106532096,343.8270625142484,41.4746736964159,100.66734008974416,-16.32227884841197,419.66929950885043,17.4245,9.102437592685819,4.903720095352628,0.32565861326674955,10.63,7.672,0.082,0.135,1.153365612276252,11.689099153827142,-2.1395497329976774,-1.2398974412117907,-9.487418369364491,-1.2485771573419335,2.9573486827734685,0.15342911769029666,0.6560358132794383,J225518.50+412828.8,22551850+4128288
2018020212611608704,291.7621252162504,21.056181066318924,55.628598487514694,2.022548900578623,472.0028599642155,16.25019,7.654779050232343,3.539975917977287,0.33493744691843375,9.228,7.217,0.039,0.102,1.1451916015369097,11.6066399964271,-2.617658652153914,-1.9717174069595833,-11.607499651983037,-1.985520119032724,2.0103301251061625,-0.17085600623405917,0.6534364921428165,J192702.90+210322.2,19270291+2103224
1940330507665286912,354.36212987173695,48.390469438469324,110.46093832322842,-12.681533858864178,446.22428776281316,17.79499,9.318324828654962,5.120331815565436,0.35755123927917853,11.672,8.89,0.209,0.38,1.134165284781032,11.495406867684135,-1.4085485922193826,-0.2942872886327361,-6.245935573201828,-0.296347402672124,2.7812848975214415,-0.02263466756173038,0.6498989949415936,J233726.91+482325.6,23372690+4823256
2075003674011356672,302.0163514755414,42.82101910045309,78.82023675106535,5.492791393488251,209.72520241501974,17.02149,10.365385995374774,6.706111017598579,0.0710958234283155,10.079,6.886,0.107,0.121,1.1162098516998746,11.314273036344908,-2.6708083077623677,-1.8346292974325245,-11.843181492497463,-1.8474723447495627,3.1928578083531445,0.3889382432699726,0.6440610370545042,J200803.93+424915.3,20080390+4249155
3338191244085944064,83.34156835039093,10.033869032747406,194.73598677747967,-12.318876016829247,407.85047401800995,17.601019,9.388350468548337,5.211891536230713,0.2510997375633963,10.873,8.891,0.11,0.482,1.0635659133946387,10.78320268015171,-2.085557344270063,-0.16022306979364664,-9.247999592263882,-0.16134468737029858,1.9814978005248722,-0.8224217645582996,0.6263774277403915,J053321.98+100201.9,05332198+1002019
