source_id,l,b,dist_pc,joint_d2,top_driver,M_Ks,residual,bp_rp,ruwe,teff_gspphot,phot_g_mean_mag
4206106140635614976,28.78005706772085,-5.557338203300356,473.7816403827253,582.1827165980768,teff,5.325244633103288,-0.13486420040760372,2.2362995,1.0732694,6010.144,17.236748
231855429998870528,154.76294231396224,-6.6327436032705105,463.94233048570703,582.0493223198667,teff,5.22332698237864,-0.12974935208825578,2.2328205,1.033314,6054.2207,17.180302
4081677197174209408,13.550115504214823,-11.59138334382499,471.522079641373,570.3412756611941,teff,5.245456620628197,0.006125889969984755,2.246872,1.029711,6005.1177,17.103323
6322439357203684096,353.911745136181,41.611435652748554,450.6413927682633,559.1580275403503,teff,5.227232939434301,0.08198013882982735,2.2365484,0.93397796,6016.1157,16.860807
2832612093710409216,90.87480996248411,-34.730263926263426,457.7116716938322,557.97915295773,teff,5.39378685149734,-0.07051589254358781,2.217495,0.9688513,6003.9214,17.148872
4201242588388300672,27.360127261428058,-8.672706779231785,460.8874469302671,553.5700560341988,teff,4.822458926389275,0.2765235921740139,2.283967,0.92404944,6005.141,16.77897
3391482274877560064,187.8846161857724,-16.086251374147952,462.32133793264825,552.1370636302624,teff,5.142842435889911,-0.009563114727193067,2.2847404,1.0612099,6003.4634,17.107971
2869909452270480000,103.33113296698288,-28.645205366528533,466.3211215281806,552.1320064028097,teff,5.31763678747062,-0.12093655199633879,2.2004642,0.9842103,6006.3047,17.131065
4075224880668156032,11.69123090765644,-11.761670729653133,477.13256973502746,548.3173506629868,teff,5.15052739682225,-0.11345637561819366,2.1883965,0.9228337,6004.007,17.157572
4357569777235200640,11.29050008774696,29.346429383321567,468.93675109383173,546.5461090535428,teff,5.1411133615038525,0.06268474817133196,2.2359638,0.94822675,6005.055,17.232403
6872194312102358400,25.627192751286053,-20.78658094261604,476.82940540800905,543.8597391642675,teff,5.208065913515868,0.11561398725783789,2.2394466,1.0473582,6005.53,17.189241
101520043192140288,150.85225167784623,-34.01053810936186,487.1029538237077,539.7670867321368,teff,5.235667878363813,-0.025399394340338333,2.1834202,1.0243362,6004.986,17.174477
5379931461525466880,291.10213476642997,18.233364826370927,473.18706924540913,539.1916647342848,teff,4.905866431819716,0.17549096666005326,2.2215862,0.9689105,6016.9116,16.794687
6761814717760908160,7.704579887856103,-14.137832854402403,474.6032519607728,534.2755891258959,teff,4.820443354719072,0.23762081342751795,2.242175,1.0018953,6005.1245,16.686249
4183744277449329408,26.94448238061917,-16.929305238083263,481.07712467132103,534.0784310699808,teff,5.198152651117969,-0.06315457491466603,2.1538925,0.9396777,6016.608,17.034132
92997522406557568,147.22917716681462,-40.196357318452705,458.09812547748675,533.0531897277085,teff,5.202607686960774,-0.021005089618446604,2.221881,0.99514693,6005.3423,17.047804
63608263791758336,167.89222464532634,-25.457606052358134,459.1323432158913,532.7696910632535,teff,4.708566934589579,0.1885030166779691,2.2785091,0.9670359,6004.7617,16.647615
4195087801473917056,31.777711725175145,-14.416791106446937,467.62980913799197,529.9413987600282,teff,4.800427932574533,0.05016579247262598,2.1717472,1.0822108,6005.052,16.722473
6213936560480423168,337.77854360781777,25.104519672554062,450.4316449333813,528.7706281897059,teff,5.321441663296284,0.048129589051210786,2.2030182,0.99090064,6004.584,17.092104
6037472640818170624,346.4068905926086,13.955456885355048,456.03359173856944,524.3751097545841,teff,5.033812299895824,0.003853376908518058,2.2199402,1.0807328,6003.5557,16.846731
4390648176538057344,28.936969267924,20.95677829232558,471.7193511620102,524.063149306005,teff,5.2739389147772755,0.03015942725696874,2.171441,1.0310011,6002.916,17.03327
4404884240778428800,7.234918075741073,34.25829649772056,478.99772145533575,523.5117910337342,teff,4.620807524538969,0.19572857790351517,2.1714773,1.0694592,6031.364,16.638184
265246945296085888,157.2837040725014,13.538127383599427,450.4966686424175,522.8198176820782,teff,4.709511391571102,0.15170059086055065,2.1661215,1.0241802,6014.012,16.413887
4207466408319920128,32.34145570104687,-12.774020025687868,472.60167432747676,522.0184265110762,teff,4.914212106875089,-0.0471681780283717,2.2155771,1.0740614,6004.3267,16.922964
6250889806259547008,357.3324849977276,26.368124375719237,457.03387789363615,519.8808979915235,teff,4.789986483030094,0.26636366881095075,2.2447605,1.0070502,6012.8735,16.774212
4088994992499327744,19.90175131892691,-10.073328892561861,486.7472378672938,518.6982566126524,teff,5.052266506122215,0.20971350793706023,2.2768478,1.0931684,6004.7686,17.038939
4113702466214982656,359.80461913881,10.550039885417789,422.4838432701105,518.50867245114,teff,4.932835842417479,0.09637747450172984,2.227561,1.109588,6002.6953,16.619347
1927957634597670912,97.84600740879625,-19.154027209330824,426.647057495395,518.3614956533654,teff,4.59307028728844,0.16682456750014119,2.1685524,0.98524654,6005.2764,16.11185
6124475037402417664,323.5302906938182,27.420469590890175,449.58686583253393,516.2726440367047,teff,4.89204324214943,0.15790782750230825,2.1138105,1.1123894,6020.4272,16.457653
4415292728942800000,359.946768724225,43.83090044012355,478.5186100591395,515.3974029212076,teff,4.754417304135777,0.1304085001169426,2.1957092,1.0113723,6005.1772,16.821596
4478069899391260928,35.04564558849445,11.778765221435703,431.8914548356262,513.5465211686673,teff,4.586516808691262,0.24412656274599875,2.258335,1.0572958,6005.8433,16.441381
170128091299839360,163.35748248785137,-15.006440525775343,460.71564626924834,512.1883654073397,teff,4.6500880909310895,0.23914351239050102,2.2068043,1.0688968,6008.343,16.579916
296994003516867328,132.84943219269752,-33.696941959689546,443.7371248059163,511.89400191094217,teff,5.353097236802687,0.03921707395819496,2.1298685,0.9659388,6031.172,16.798185
3174900268281047296,210.3629365926985,-34.60407885867935,473.2139777362785,511.8514665252642,teff,4.808110723721938,0.13829068079455187,2.2522736,1.003123,6004.36,16.805841
23648334745582848,157.21549871125268,-48.384454538222144,474.153075284732,510.7610430989993,teff,4.760787517534812,0.16027447098764647,2.1676064,1.0295806,5973.6646,16.516855
236991970366561536,152.66283170153244,-11.813978595934666,483.6841321216709,510.5438937795966,teff,4.749160869667353,0.14527327042324067,2.2573452,1.0344216,6004.2676,16.833248
3283737419619904256,190.30427688025085,-29.50156356841898,488.78083501179634,509.71831266253537,teff,5.006573205053321,0.15889805853670858,2.2203608,0.95900977,6005.019,17.029676
