f,delta_mag,delta_over_sigma,efficiency,n_pos_observed,n_neg_observed,n_upper_limit,p_upper_limit,mean_f_upper_limit
0.001,0.0010862794350442293,0.011279518025900164,0.0045694493709182715,218,17,243.89672992300206,1.0,0.001
0.003,0.003262104220860703,0.0338724661210816,0.004673774699021429,218,17,243.89672992300206,1.0,0.003
0.01,0.01091201350612522,0.11330625350206876,0.0050284808145721616,218,17,243.89672992300206,1.0,0.01
0.03,0.0330706643343879,0.3433933686437081,0.006593360736119515,218,17,243.89672992300206,0.7718250946930445,0.023154752840791333
0.05,0.05569098677788063,0.5782743085950952,0.008575541970079497,218,17,243.89672992300206,0.593422700542584,0.0296711350271292
0.1,0.1143937264016878,1.1878215285785951,0.015106307509337117,218,17,243.89672992300206,0.33687393635773766,0.03368739363577377
0.2,0.242275032520141,2.5156930237063833,0.04884511861789805,218,17,243.89672992300206,0.10418484832251262,0.020836969664502526
0.3,0.38725489996435797,4.021109563386229,0.19072756483819142,218,17,243.89672992300206,0.0266816245403131,0.00800448736209393
0.5,0.752574989159953,7.8144562828124275,0.9902560143551652,218,17,243.89672992300206,0.005138995573598863,0.0025694977867994316
0.7,1.3071968632008437,13.573441700361128,1.0,218,17,243.89672992300206,0.005088921274500846,0.003562244892150592
0.9,2.5,25.959061872143664,1.0,218,17,243.89672992300206,0.005088921274500846,0.0045800291470507615
