dv_max_kms,n_anom_pairs_below,frac_anomaly,frac_control,control_sd,ratio,n_sigma
2,422154,0.10843604671323606,0.0025258623905653815,6.558407676783706e-05,42.93030654332838,1614.876499635501
5,1095328,0.28135002433783746,0.020568237819305273,0.00023780975318308663,13.678858967381414,1096.5983649869888
10,1786488,0.45888395282440925,0.08331006554793058,0.0006812661973255247,5.508145382029506,551.2880115744548
20,2521177,0.6475989021644621,0.272752359301967,0.0015564349621968242,2.374310909067146,240.8366247012464
40,3200780,0.8221642566428169,0.6198717004205876,0.0015054345323575996,1.3263458488022155,134.37486112758899
80,3769873,0.9683436014605271,0.9155616636624551,0.001307372822636136,1.057649790170257,40.37252181183069
