estimator,k,threshold_mag,f_detectable,observed,predicted_background,excess,p_UL_conservative,p_UL_bkg_subtracted,mean_f_UL
all clean pairs,4,0.44834043890534797,0.3382959017614747,146,169.26677597253826,-23.266775972538255,0.009469409733206226,0.0016513011200785166,0.000558628401496695
all clean pairs,5,0.5604255486316849,0.40319867242429086,33,65.8460858522757,-32.846085852275706,0.002494633774928599,0.0009246277237016135,0.0003728086706831846
all clean pairs,6,0.6725106583580219,0.46173550149641185,10,32.03107209069457,-22.031072090694572,0.0009589676184826947,0.0006029376537092627,0.00027839771990651634
all clean pairs,7,0.7845957680843589,0.5145307877811903,8,18.3186846204471,-10.318684620447101,0.0008160702009948163,0.00047711081670146805,0.00024548820437633343
clean + bare photosphere,4,0.43637731621983394,0.330964637361461,105,136.8808682410646,-31.880868241064604,0.009600682828679732,0.001989107049087588,0.0006583240931743994
clean + bare photosphere,5,0.5454716452747924,0.39492202903322393,20,53.836168241124824,-33.836168241124824,0.002259525644568031,0.0010989855253249372,0.0004340135935394677
clean + bare photosphere,6,0.6545659743297509,0.45276532244069934,4,25.851273766651033,-21.851273766651033,0.0007116715150550127,0.00069877736820217,0.0003163821604283188
clean + bare photosphere,7,0.7636603033847094,0.5050790035456851,2,14.610074284238218,-12.610074284238218,0.0004894879195981954,0.0005212465390737963,0.000247230070678307
